"sample.depths","sample.ages","upland.sum","Abies.balsamea","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Alnus.viridis.subsp..crispa","Alnus.incana","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Cupressaceae.Taxaceae","Fagus.grandifolia","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.pennsylvanica.F..americana.type","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myricaceae","Ostrya.Carpinus","Platanus","Populus","Quercus","Rhamnus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Amorpha","Artemisia","Asteraceae.undiff.","Balsaminaceae","Brassicaceae","Campanulaceae","Amaranthaceae","Cyperaceae","Ericaceae.undiff.","Galium","Humulus","Iva","Monotropa","Oxalis","Dalea","Poaceae","Plantago","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Saxifragaceae","Salsola","Sarcobatus.vermiculatus","Stachys","Thalictrum","Tradescantia","Urtica","Vaccinium"
410.5,3423,319,0,2,1,1,6,3,0,0,2,0,0,0,3,1,8,0,3,2,3,1,30,2,3,0,2,0,3,4,0,0,0,1,0,0,1,167,0,6,2,4,0,41,0,2,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,2,0,0,0,0,0,0,0
510.5,5314,328,0,0,0,2,2,0,0,0,1,0,0,0,0,2,21,0,1,0,0,2,14,1,0,9,10,0,11,3,1,0,0,0,3,0,4,172,0,21,1,0,0,29,0,1,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2,0,0,1,0,0,0,0,0,0,0
606.5,7769,322,0,0,2,0,2,0,0,0,0,3,0,0,0,3,12,0,5,0,0,1,2,0,5,3,3,0,0,1,1,0,0,2,1,0,0,225,0,0,0,3,0,29,0,7,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
614.5,8006,331,0,1,5,0,0,30,0,0,6,0,1,0,0,1,14,0,1,0,3,0,19,0,13,1,1,0,2,5,0,0,0,0,5,2,5,113,0,37,0,0,0,36,0,6,0,1,0,0,0,0,3,0,0,0,0,1,0,1,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0
632.5,8533,337,2,6,0,0,14,0,0,0,2,0,0,0,1,0,19,2,3,0,0,3,0,0,8,0,0,0,1,1,0,0,0,0,8,3,3,187,0,9,6,2,0,25,0,10,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0
638.5,8686,352,0,6,0,0,12,2,0,1,4,0,0,0,3,1,17,1,5,0,0,2,1,3,1,0,3,0,1,1,0,0,0,0,11,0,1,194,0,19,0,1,0,21,0,14,0,3,0,0,0,0,2,3,1,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0
644.5,8826,354,0,4,0,0,16,1,0,0,6,1,0,0,0,1,17,6,2,0,1,6,0,1,8,1,2,0,0,4,0,0,0,0,8,0,5,184,0,3,0,2,0,31,0,13,0,5,0,0,0,0,3,2,0,0,0,0,0,0,0,14,3,0,0,0,3,0,0,0,1,0,0,0,0
651.5,8975,349,0,4,0,0,15,3,0,0,2,0,0,0,0,3,17,0,2,1,1,4,0,0,3,0,0,0,1,3,0,0,0,3,5,0,2,184,1,22,0,2,2,25,0,16,0,3,1,0,0,0,2,2,0,0,0,0,0,0,0,16,1,0,0,0,1,0,0,0,0,2,0,0,0
656.5,9074,345,1,6,1,0,18,2,0,0,5,1,0,0,2,3,16,0,5,0,0,0,2,0,2,0,0,0,1,2,2,0,0,2,5,0,5,178,1,17,0,3,0,21,0,10,0,5,0,0,0,0,4,1,0,0,0,0,0,0,0,16,6,0,0,0,2,0,0,0,0,0,0,0,0
662.5,9185,340,0,3,1,0,14,0,0,0,10,0,0,0,0,3,16,0,0,0,0,0,4,0,0,0,0,0,1,2,1,0,0,0,11,0,5,170,0,12,0,7,0,40,0,8,0,2,2,0,0,0,5,1,0,0,0,0,0,0,0,11,7,0,0,0,3,0,0,0,0,1,0,0,0
