"sample.depths","sample.ages","Acer.saccharum","Alnus","Betula","Picea","Pinus","Quercus","Tilia","Tsuga","Ambrosia","Artemisia","Chenopodiaceae.Amaranthaceae","Lotus","Lycopodium","Polypodiaceae","Myriophyllum","Potamogeton","Typha","Unknown"
0,-40,33,22,196,45,102,10,2,72,11,0,3,0,5,0,0,0,0,0
5,-35,15,20,82,21,60,19,1,57,11,0,6,0,4,0,0,0,0,0
10,-29,22,19,73,20,55,16,2,46,26,0,7,0,11,1,0,1,0,0
15,-22,13,17,89,30,65,3,1,45,25,0,3,0,5,0,0,2,1,0
20,-20,12,9,35,19,47,13,1,11,12,0,4,0,6,1,3,0,2,23
25,-10,20,16,97,22,56,15,1,42,16,0,1,1,7,0,0,5,0,1
30,0,0,2,13,3,11,1,0,4,2,0,0,0,1,0,0,0,0,11
34,14,11,40,65,26,65,4,1,55,19,0,3,0,9,0,0,0,1,1
36,23,6,8,108,24,71,18,0,26,21,6,2,0,0,1,4,0,0,3
38,30,5,11,132,22,61,10,1,25,19,2,2,0,4,2,1,0,0,0
40,38,4,5,108,29,102,12,0,21,9,1,3,0,2,0,3,0,0,1
42,48,4,10,108,32,79,13,1,27,10,2,1,0,4,0,3,0,0,0
44,60,2,5,105,28,105,13,1,21,10,3,0,0,0,0,2,0,0,0
46,73,8,9,97,32,83,13,0,30,3,0,1,0,7,2,3,0,0,6
48,NA,16,16,91,33,90,9,1,19,3,0,0,0,4,2,0,0,0,11
