"sample.depths","sample.ages","Cupressaceae","Picea","Abies","Larix","Tsuga","Pinus","Betula","Populus","Fraxinus.nigra","Fraxinus.americana","Quercus","Ulmus","Ostrya.Carpinus","Salix","Acer.saccharum","Acer.rubrum","Tilia","Juglans.nigra","Juglans.cinerea","Carya","Platanus","Celtis","Fagus","Castanea","Liquidambar","Sambucus.racemosa","Shepherdia","Alnus","Corylus","Myrica.Comptonia.peregrina","Ericaceae","Clethra","Thalictrum","Viola","Lamiaceae","Saxifraga","Caryophyllaceae","Hypericum","Menyanthes.trifoliata","Cornus.canadensis","Poaceae","Artemisia","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Cyperaceae","Rumex","Plantago","Rosaceae.undiff.","Rubus","Sanguisorba.canadensis","Epilobium","Ranunculus.flabellaris","Brassicaceae","Chenopodiaceae","Typha","Sparganium","Nuphar","Equisetum","Pteridium","Dryopteris","Osmunda","Polypodiaceae","Spore..monolete.","Huperzia.lucidula","Lycopodium.clavatum","Lycopodium.annotinum","Lycopodium.undiff.","Sphagnum","Nyssa","Ilex.Nemopanthus","Viburnum"
98,4274,4,1,0,0,54,34,61,12,0,5,74,2,2,1,1,6,0,0,0,2,0,0,44,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,208,0,2,0,0,0,0,46,16,12,0
110,4874,0,1,0,0,66,30,68,2,0,1,66,2,0,0,1,2,0,0,0,1,0,0,70,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,152,0,0,1,0,0,0,29,22,153,0
120,5410,0,1,0,0,20,5,42,2,0,2,46,1,2,0,2,1,0,0,2,4,0,1,32,0,0,0,0,2,8,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,7,45,44,0
130,5990,0,0,0,0,155,22,62,1,0,2,68,4,0,0,0,10,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,4,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,35,0,0,0,0,0,0,15,11,0,0
139,6531,0,2,0,0,114,54,39,0,0,1,40,2,0,0,0,2,1,0,0,1,0,0,33,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,1,0,430,26,0
147,7009,0,4,0,0,109,106,71,0,0,0,89,1,1,0,0,0,0,0,0,1,1,0,30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,69,0,0,0,0,0,0,99,5,18,0
160,7741,0,1,0,5,32,40,16,0,0,5,38,4,3,3,0,4,0,0,0,2,0,0,18,0,0,0,0,5,4,2,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,6,0,0,0,0,60,4,62,0
170,8233,0,2,0,0,63,114,66,0,0,6,120,2,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,75,4,116,1
180,8650,0,35,0,0,148,185,74,22,0,5,150,2,6,3,3,11,1,1,0,0,2,0,5,0,0,0,0,29,6,1,2,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,3,0,12,0,63,0,0,0,0,194,2,145,1
195,9147,0,7,0,0,69,196,48,7,0,3,83,4,4,3,3,4,0,0,0,0,0,0,6,0,0,0,0,6,8,1,9,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,66,1,0,1
220,9705,0,0,0,0,25,143,20,52,0,3,71,4,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,2,0,0,0
240,10024,2,5,0,4,30,141,40,11,0,6,47,5,2,0,2,4,0,0,0,1,0,0,7,2,0,3,0,5,0,3,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,28,0,0,2,0,0,0,0,0,0,0,0,1,8,2,0,24,0,0,0,0,0,0,25,1,4,0
260,10357,0,0,0,0,58,314,38,2,0,7,108,4,7,4,0,1,0,0,1,0,0,0,2,1,0,0,0,11,6,14,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,7,0,0,0,0,10,0,2,0
275,10629,4,12,6,3,80,371,56,16,0,2,118,3,5,2,0,6,0,0,6,1,0,0,3,0,0,0,0,175,1,4,2,0,0,0,0,0,0,0,0,0,3,0,2,2,0,9,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,4,0,2,0,0,1,0,3,0,3,1
290,10900,0,23,9,1,11,392,182,8,1,11,134,11,11,1,1,7,0,0,1,1,0,0,2,0,0,0,0,12,2,8,9,5,0,0,0,0,0,0,0,0,1,2,0,0,0,8,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,3,0,5,0,0,1,0,5,0,0,0
320,11310,0,86,1,0,6,249,77,2,0,4,21,4,4,5,0,2,0,0,0,1,0,0,1,0,0,0,0,12,0,7,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,23,0,0,6,0,0,0
345,11564,2,324,18,4,3,189,115,6,0,1,14,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,59,0,9,2,0,0,0,0,0,0,0,0,0,14,5,0,4,0,13,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,4,0,3,5,0,23,0,0,0
370,11839,0,275,0,2,0,46,27,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,10,0,1,2,0,0,0,0,0,0,0,0,0,7,1,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,0
390,12131,0,368,10,4,0,95,64,8,0,3,14,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,16,0,5,4,0,0,0,0,0,0,0,0,0,15,1,1,4,0,42,0,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,0,5,0,1,6,0,18,0,0,0
420,12689,0,193,34,4,1,67,61,13,0,3,29,1,1,2,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,9,1,0,0,2,0,0,0,0,0,0,18,1,2,1,1,44,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,10,4,0,6,1,0,0
440,13112,9,206,4,8,0,39,17,0,0,0,12,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,1,0,0,0,0,0,0,0,0,0,10,0,2,0,0,18,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,3,0,6,0,0,3,0,0,0
470,NA,4,30,0,8,0,55,5,0,0,0,3,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,1,0,2,0,0,1,0,0,0,0,28,5,2,3,0,90,0,0,7,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
480,NA,0,47,0,0,0,60,7,15,0,1,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,1,0,0,0,25,5,3,4,0,72,9,4,3,1,0,0,0,2,2,3,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0
490,NA,21,18,0,1,6,48,20,12,0,0,5,0,0,4,1,2,1,0,0,0,0,0,2,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,9,2,0,2,0,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68,0,0,0,0,0,7,1,2,0
