"sample.depths","sample.ages","Abies","Acer.negundo","Alnus","Arceuthobium","Betula","Caprifoliaceae","Cupressaceae","Elaeagnus","Ephedra.nevadensis.type","Fraxinus","Larix","Picea","Pinus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiineae.undiff.","Cyperaceae","Galium","Iva.xanthifolia","Lamiaceae","Onagraceae","Poaceae","Ranunculus","Rosaceae","Rumex","Salsola","Thalictrum","Xanthium","Adiantum","Dryopteris.type","Equisetum","Lycopodium","Pteridium","Selaginella.rupestris","Sphagnum","Myriophyllum","Potamogeton","Typha.latifolia","Indeterminable","Unknown","pre.Quaternary"
0,-43,4080,0,12,0,21,0,0,0,0,0,0,24,103,13,0,17,0,0,0,0,0,0,0,11,2,0,0,0,9,12,0,0,0,0,23,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0
5,-31,0,1,16,0,21,0,2,0,0,0,1,16,139,14,0,14,0,0,0,0,0,0,0,26,0,0,3,0,12,3,0,0,0,0,26,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,5,2,0
10,-18,1,0,9,0,18,0,1,0,0,0,0,8,108,26,0,15,0,0,0,0,0,0,1,9,0,1,7,0,5,8,0,0,0,0,31,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0
15,-4,1,0,5,0,20,0,0,0,0,0,1,24,143,18,0,10,0,0,0,0,0,0,0,22,4,1,0,0,8,4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
20,12,1,0,16,0,20,0,0,0,0,0,0,15,87,16,0,23,0,0,0,0,0,1,0,20,0,0,0,0,5,8,0,0,0,0,33,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,4,3,6,0
25,29,1,0,12,0,15,0,0,0,0,0,0,21,135,10,1,18,0,0,0,0,0,0,0,42,1,0,0,0,2,8,0,0,0,0,28,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,2,0
30,47,4,0,5,0,14,0,1,0,0,0,0,13,103,15,0,18,0,0,0,1,0,0,0,25,3,0,0,1,6,13,0,0,1,0,26,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0
35,66,2,0,10,0,17,0,1,0,0,0,1,18,100,3,0,15,0,0,0,0,0,1,0,35,2,0,0,0,5,12,0,0,0,0,26,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,0
40,87,1,0,21,0,15,0,1,0,0,0,1,18,91,1,0,22,0,0,0,0,0,0,0,33,1,0,0,1,0,16,0,0,0,0,26,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0,0,5,0,0
45,109,3,0,8,1,12,0,0,0,0,0,0,28,161,1,0,14,1,0,0,0,0,0,0,38,2,0,1,1,3,13,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0
50,132,0,0,22,0,20,0,0,1,0,0,0,20,109,0,0,6,0,0,0,0,0,0,0,24,5,0,0,0,1,8,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1
55,156,0,0,9,0,21,0,1,0,0,0,0,32,120,2,0,17,1,0,0,0,0,2,0,36,1,0,0,0,4,7,0,0,0,0,34,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,3,0,2
60,182,4,0,8,0,15,1,0,0,0,0,0,33,183,2,0,12,1,0,0,0,0,0,0,28,3,0,0,0,0,13,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,3,2,0
65,208,1,0,10,0,18,0,0,0,0,0,1,12,103,1,0,12,1,0,0,0,0,0,0,35,4,0,1,0,2,17,0,0,0,0,31,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,3,0
