"sample.depths","sample.ages","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus","Betula","Betulaceae.undiff.","Carya","Castanea","Celtis","cf..Cupressaceae","cf..Morus","cf..Taxus","Corylus","Cupressaceae","Ephedra","Ericaceae.type","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Hudsonia","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lonicera","Myrica.type","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus","Quercus","Rhamnaceae","Rhus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia","Shepherdia.argentea","Tilia","Tsuga","Ulmus","Ambrosia.type","Apiaceae","Araliaceae","Arceuthobium.pusillum","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Campanulaceae","Caryophyllaceae","cf..Humulus","Chenopodiaceae.undiff.","Cyperaceae","Epilobium","Euphorbia.subg..Chamaesyce","Fabaceae","Humulus","Iva.annua","Iva.xanthifolia","Lamiaceae.undiff.","Lycopus.type","Plantago.lanceolata.type","Plantago.major.type","Plantago.undiff.","Poaceae","Polygonum.bistorta.type","Polygonum.persicaria.type","Polygonum.undiff.","Potentilla","Ranunculaceae.undiff.","Ranunculus","Rosaceae.undiff.","Rumex","Urtica","Xanthium.type","Adiantum.type","Botrychium.undiff.","Botrychium.simplex.type","cf..Osmunda","Diphasiastrum.complanatum","Dryopteris.type","Equisetum","Huperzia.lucidula","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.obscurum","Osmunda.cinnamomea","Osmunda.regalis.type","Pteridium","Sphagnum","Brasenia.schreberi","Isoëtes","Nuphar","Nymphaea","Potamogeton","Typha.angustifolia","Typha.latifolia","Spore..monolete.","Spore..trilete..undiff.","Spore..trilete..psilate.","Indeterminable","Unknown"
1.5,-39,2,0,6,2,0,23,127,1,0,0,0,0,0,0,3,7,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,6,0,35,7,158,1,4,0,53,0,0,4,1,0,0,0,1,13,6,14,0,0,1,6,1,0,0,0,0,3,2,0,0,0,1,0,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,1
19.5,50,0,0,3,3,0,23,133,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,1,0,0,1,4,6,0,14,2,232,0,1,0,46,0,0,0,0,0,0,0,0,14,9,31,0,0,0,3,0,0,0,0,0,9,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,3
49.5,198,2,0,1,7,0,23,152,2,1,0,1,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,9,0,25,3,278,1,1,0,32,0,0,4,0,0,0,0,1,18,4,30,0,0,0,2,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,10,5
90,418,2,0,1,9,0,16,138,0,0,0,1,0,0,0,3,5,0,0,0,0,1,0,0,2,1,0,0,0,0,0,3,5,0,148,172,278,2,3,0,25,0,0,0,0,0,0,0,0,40,10,4,0,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,4,2
130,884,0,0,0,2,0,25,98,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,8,4,322,0,1,0,23,0,0,0,0,0,0,1,1,23,5,3,0,0,0,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,2,3
170,1350,4,0,4,7,0,27,160,0,0,0,0,0,0,0,4,4,0,0,0,1,3,0,0,1,0,0,1,0,0,0,6,4,0,178,144,208,1,2,0,25,0,0,1,0,0,0,0,0,35,7,4,0,0,0,7,3,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,1,4,0
210,1816,0,0,0,4,0,15,101,0,0,0,0,0,0,0,5,11,0,0,0,1,2,0,0,0,0,0,1,0,0,0,5,4,0,95,102,166,1,4,0,29,0,0,1,0,0,0,0,0,12,3,3,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,5,0,0,0,0,0,1,0,0,1,0
270,2515,0,0,1,3,1,7,71,0,0,0,0,0,0,0,1,3,0,0,1,0,4,0,0,0,0,0,2,0,0,0,1,3,0,49,116,129,2,3,0,18,0,0,0,0,2,0,0,0,13,3,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0,5,0
290,2748,2,0,3,2,0,20,59,2,0,0,0,0,0,0,6,3,0,0,1,1,0,0,0,0,0,0,2,0,0,2,1,10,0,158,133,236,1,3,0,21,0,0,0,0,0,0,0,0,30,10,2,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,6,3
310,2981,4,0,4,3,0,20,79,2,0,0,1,0,0,2,2,2,0,0,2,1,2,0,0,0,0,0,3,0,0,0,2,8,0,166,152,246,1,4,0,22,0,0,1,0,0,0,0,0,7,6,3,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,2,0,0,0,0,0,2,1,0,6,2
