"sample.depths","sample.ages","Spike..number.counted.","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Acer.undiff.","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Betula","Carya","Celtis","Coniferophyta.undiff.","Cornus.sericea.type","Cornus.undiff.","Corylus","Ephedra","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Juniperus.Thuja","Larix","Morus","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides.type","Prunus.type","Quercus","Rhus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Viburnum","Vitis","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Bidens.type","Brassicaceae","Caryophyllaceae","Chenopodiaceae.undiff.","Comarum.type","Cyperaceae","Dalea.purpurea","Epilobium","Fabaceae.undiff.","Galium","Humulus.Cannabis.sativa","Iva.annua.type","Iva.xanthifolia.type","Lycopus.type","Malvaceae","Poaceae","Polygonaceae.undiff.","Rosaceae.undiff.","Rumex","Sanguisorba.canadensis","Spiraea.type","Thalictrum","Urtica","Xanthium","Alisma","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Equisetum","Indeterminable..hidden.","Indeterminable.undiff.","Lycopodium","Spore..monolete.","Myriophyllum","Potamogeton","Pre.Quaternary","Pteridium","Ranunculus.aquatilis","Sagittaria","Selaginella","Sphagnum","Spore..trilete.","Typha.angustifolia.type","Typha.latifolia","Unknown"
22,144,153,8,0,0,1,1,1,0,0,0,99,1,0,0,0,0,6,0,0,3,4,0,0,0,0,1,5,0,0,12,33,141,131,49,0,1,3,2,29,0,7,1,0,0,2,0,22,0,0,40,2,2,24,4,0,1,0,0,8,1,14,0,0,0,0,1,0,3,0,0,37,0,0,0,0,1,1,1,1,0,5,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
40,295,110,26,0,1,1,1,0,24,0,3,130,0,0,0,0,0,6,0,0,5,4,0,0,0,0,2,8,0,0,13,31,142,369,90,0,0,1,0,33,0,2,0,0,0,0,0,13,0,0,8,1,0,22,1,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,2,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
50,379,131,5,1,0,1,1,0,50,0,3,102,0,0,0,0,0,7,0,0,3,0,0,1,2,0,2,18,0,0,14,14,102,226,22,0,1,2,1,29,0,2,1,0,0,1,1,8,0,0,11,0,0,20,5,0,3,0,1,7,0,8,0,0,0,0,0,1,1,0,0,15,0,0,0,0,0,0,1,0,0,2,0,2,1,4,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0
70,546,103,2,0,1,0,0,2,12,0,1,56,0,0,0,0,0,4,0,0,1,1,0,1,0,0,0,13,0,0,6,2,45,133,46,0,0,0,0,23,0,3,0,0,0,0,1,5,0,0,4,1,0,10,0,0,0,0,0,3,0,7,0,0,0,0,0,0,1,0,0,15,0,0,1,0,0,0,0,0,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,881,155,5,2,0,0,1,5,20,0,2,128,0,0,0,0,0,14,0,0,3,4,0,0,0,0,0,17,0,0,26,2,37,85,36,0,1,5,0,125,0,3,1,0,0,0,0,32,0,0,11,3,0,16,3,0,0,0,0,2,0,13,0,0,0,0,1,0,2,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0
130,1048,222,2,0,0,0,4,0,8,0,2,91,0,0,0,0,0,17,0,0,12,5,0,0,0,0,0,0,0,0,26,3,40,26,58,0,0,0,0,82,0,6,1,0,0,3,0,13,0,1,3,0,0,14,9,0,0,0,0,8,0,8,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150,1216,190,1,0,0,0,0,0,29,0,3,112,0,0,0,0,0,12,0,0,4,2,0,0,0,0,3,0,0,0,37,3,59,52,30,0,0,0,2,116,0,4,9,0,0,0,0,11,0,0,6,0,0,16,6,1,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,5,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1383,120,6,0,0,1,1,0,29,0,4,117,1,0,0,0,1,6,0,0,4,4,0,0,0,0,0,11,0,0,14,19,84,288,44,0,2,7,0,33,0,4,0,0,0,1,0,8,0,0,2,1,0,19,4,0,0,0,0,3,0,16,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,1550,106,4,0,1,1,1,0,20,0,0,144,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,20,0,0,12,18,85,139,71,0,0,10,0,51,0,1,1,0,0,2,0,0,0,0,5,2,0,19,2,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
210,1718,214,2,0,0,0,1,0,8,0,1,103,0,0,0,0,0,7,0,0,7,8,0,0,1,0,1,1,0,0,18,3,42,19,11,0,1,0,0,227,0,7,0,0,0,0,0,1,0,0,4,0,0,20,5,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
