"sample.depths","sample.ages","Sample.volume..ml.","Eucalyptus.suspension..concentration..grains.ml.","Eucalyptus.spike..number.counted.","Eucalyptus.suspension..volume.added..ml.","Picea","Pinus","Abies","Tsuga","Betula","Populus","Quercus","Ulmus","Fagus","Fraxinus","Ostrya.Carpinus","Other.trees","Juniperus.Thuja","Alnus","Salix","Shepherdia.canadensis","Myrica","Ericaceae","Other.shrubs","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Artemisia","Chenopodiineae","Ranunculaceae","Rosaceae","Plantago","Unknown","Other.herbs","Cyperaceae","Lycopodiaceae","Pteridophyta.undiff.","Sphagnum","Other.ferns","Isoëtes","Aquatics"
600,11460,1,119000,53,0,17,50,1,0,43,0,26,1,0,6,3,3,111,3,0,0,10,5,0,8,4,0,1,0,0,0,0,15,0,1,1,11,3,2,74,1
610,11652,1,119000,24,0,12,63,2,4,24,0,16,3,0,3,3,0,95,7,1,0,15,4,0,2,1,1,1,1,0,3,1,4,0,1,11,1,10,15,55,1
615,11747,1,119000,69,0,14,73,8,0,33,0,27,1,0,6,4,5,85,12,0,0,24,5,2,12,4,0,1,0,0,0,0,17,0,11,12,9,5,7,91,1
625,11939,1,119000,64,0,27,73,3,1,29,0,24,2,2,2,2,4,88,6,0,0,44,16,0,4,1,0,3,0,0,0,0,19,0,7,17,8,5,8,337,1
630,12035,1,119000,103,0,17,80,12,3,53,1,44,4,0,17,0,3,6,6,4,0,51,4,0,30,7,0,1,0,0,0,0,12,7,6,23,9,2,21,61,14
634,12122,1,119000,83,0,33,112,24,2,46,2,30,0,1,7,0,3,33,11,1,0,85,30,0,14,8,0,1,0,1,4,0,4,2,20,37,7,6,5,77,2
646,12436,1,119000,87,0,52,42,9,0,80,0,3,0,0,5,0,2,18,24,2,0,27,17,1,3,1,2,0,0,0,2,0,5,4,18,10,18,1,10,0,8
656,12697,1,119000,78,0,53,104,35,0,78,0,8,1,0,2,0,0,15,50,4,0,61,23,0,12,4,0,3,0,0,3,0,5,5,35,17,0,7,7,15,3
666,12958,1,119000,70,0,23,63,11,0,23,0,15,0,1,3,1,1,17,16,3,0,65,11,0,19,1,0,6,0,0,0,0,6,2,33,26,1,9,9,14,1
675,13317,1,119000,100,0,45,68,15,1,37,7,5,1,3,13,0,2,51,1,4,2,179,20,0,9,5,0,7,0,0,0,2,4,4,23,37,18,3,5,0,10
695,14131,1,119000,253,0,4,11,1,0,3,0,1,5,0,1,0,0,6,0,15,0,2,7,2,3,0,1,2,0,0,0,0,1,1,8,0,3,0,0,0,1
700,14335,1,119000,299,0,5,42,6,2,2,5,5,1,0,1,0,6,49,4,11,0,2,2,0,52,4,0,8,0,7,0,0,11,5,58,0,12,0,1,0,1
