"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Fagus","Fraxinus","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Plantago","Poaceae","Urtica"
0,-50,215,0,7,4,11,1,0,1,0,4,10,0,0,9,1,107,0,30,0,2,12,5,3,1,1,1,0,0,0,1,4,0
5,3260,202,2,3,1,10,1,0,3,0,2,5,0,0,5,0,136,0,20,0,1,8,4,0,0,0,0,0,0,0,0,0,1
10,6570,200,4,3,0,3,0,0,0,0,5,4,0,0,13,1,138,0,19,0,0,5,5,0,0,0,0,0,0,0,0,0,0
15,8315,207,1,6,0,2,0,1,2,0,2,9,1,0,9,0,131,0,32,0,1,5,4,0,0,0,0,0,0,0,0,1,0
20,8496,206,5,3,2,8,0,0,3,0,3,8,0,0,15,3,118,0,26,0,1,2,6,0,1,1,0,0,0,0,0,1,0
25,8677,201,3,7,1,19,0,0,1,0,0,4,0,1,14,1,123,0,19,0,1,2,5,0,0,0,0,0,0,0,0,0,0
30,8858,204,3,2,1,9,0,0,1,0,1,4,0,0,4,0,159,0,13,0,0,1,3,0,1,0,1,0,0,0,0,1,0
35,9039,200,2,1,0,5,0,0,2,0,0,10,0,0,11,1,145,0,13,0,0,6,4,0,0,0,0,0,0,0,0,0,0
40,9220,205,1,1,1,8,0,0,0,0,0,6,0,0,6,1,161,0,8,0,1,2,5,0,1,1,0,0,0,1,0,1,0
45,9401,201,1,1,1,13,0,0,2,0,1,5,0,1,10,0,151,0,11,0,0,1,3,0,0,0,0,0,0,0,0,0,0
50,9582,205,2,0,0,7,1,0,0,0,0,4,0,1,6,0,156,0,15,0,0,2,6,0,2,0,0,0,1,1,0,1,0
55,9763,200,2,2,0,8,0,0,1,0,0,8,0,0,5,2,159,0,10,0,0,1,2,0,0,0,0,0,0,0,0,0,0
60,9945,202,1,0,0,14,0,0,2,0,1,4,0,0,9,0,158,0,8,1,0,1,2,0,0,0,0,0,0,1,0,0,0
65,10126,204,5,3,1,16,1,0,0,0,2,11,0,0,6,1,141,0,9,0,0,1,4,0,0,0,0,0,0,3,0,0,0
67,10198,204,2,2,1,7,0,0,0,0,0,3,0,0,5,1,164,0,10,1,0,1,5,0,0,0,0,0,1,0,0,1,0
70,10307,206,2,0,0,13,1,0,0,0,0,20,0,0,1,1,155,0,2,0,0,1,4,0,1,0,1,0,0,1,0,0,3
75,10488,210,3,1,3,9,2,0,4,0,0,6,0,0,6,2,151,0,10,1,0,1,5,0,0,1,1,0,0,3,0,1,0
80,10669,201,1,0,0,6,1,0,2,0,1,8,0,0,6,2,156,0,11,0,0,3,3,0,0,0,0,0,0,0,0,1,0
90,11031,206,7,0,1,20,0,0,2,0,1,10,0,3,2,0,134,1,12,1,1,2,5,0,0,1,0,0,0,3,0,0,0
95,NA,202,1,0,0,55,0,0,1,0,0,2,0,0,5,10,110,0,10,0,0,1,5,0,0,0,0,0,1,1,0,0,0
100,NA,204,6,0,0,11,1,0,2,0,0,3,0,0,1,7,160,1,3,1,0,1,4,0,0,0,0,0,0,2,0,1,0
105,NA,201,5,0,0,14,0,0,0,1,0,8,0,0,3,6,148,0,10,0,0,2,4,0,0,0,0,0,0,0,0,0,0
110,NA,205,2,0,0,17,0,0,0,1,0,3,0,0,2,4,155,1,12,0,0,0,4,0,1,0,0,0,1,2,0,0,0
115,NA,204,3,0,0,17,1,0,2,0,0,5,0,1,4,3,146,2,9,1,0,3,4,0,0,0,0,0,0,1,0,2,0
120,NA,206,6,1,0,14,1,0,0,0,0,4,0,0,3,7,146,0,14,0,0,1,3,0,0,1,0,1,1,3,0,0,0
