"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans.cinerea","Larix","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae","Cyperaceae","Poaceae","Rumex","Dryopteris.type","Lycopodium","Osmunda","Pteridium","Sphagnum","Brasenia.schreberi","Isoëtes","Nuphar","Nymphaea","Potamogeton","Typha.latifolia","Indeterminable","Unknown"
0,-27,5,0,4,24,100,0,0,0,21,1,3,0,0,0,8,1,14,65,0,0,5,0,0,0,2,1,1,0,0,2,5,0,1,1,1,0,1,0,0,0,0,0,5,2,1
10,586,8,0,3,17,43,1,0,0,0,1,0,0,0,8,0,1,15,107,0,0,4,4,1,8,0,6,1,1,0,2,1,1,1,0,0,1,38,0,0,0,0,0,0,2,3
20,1200,2,0,3,10,62,0,1,0,0,0,2,12,0,8,0,1,7,94,0,0,7,1,0,12,2,2,1,1,0,0,1,0,0,0,0,0,58,0,0,0,0,0,0,2,1
30,1813,6,3,1,5,49,1,0,0,0,1,2,0,0,9,0,1,15,99,0,0,3,0,0,10,0,0,0,0,0,1,0,0,0,0,3,0,68,0,0,0,0,0,0,3,2
40,2426,2,0,1,15,38,0,0,0,0,0,0,6,0,3,0,1,6,142,0,0,2,0,0,4,1,0,0,0,1,0,0,0,2,1,2,0,41,0,0,0,0,0,0,5,0
50,3039,3,0,2,1,42,0,0,0,0,0,1,1,0,1,0,1,3,132,0,0,3,0,1,6,5,1,1,0,0,5,0,0,0,1,1,0,50,0,0,0,0,0,0,1,0
60,3304,3,0,2,0,46,0,0,2,0,0,1,0,0,1,0,0,2,134,0,0,4,0,0,3,2,0,1,0,0,12,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0
70,3419,2,0,1,2,49,0,1,0,1,0,3,0,0,1,2,0,5,131,0,0,3,0,0,4,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
80,3533,0,0,0,5,48,0,0,0,0,0,1,0,0,1,0,0,3,133,0,0,5,0,0,6,3,0,2,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1
90,3648,3,0,1,6,47,0,0,4,0,0,0,1,0,0,0,1,3,131,0,0,3,0,1,3,3,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,3763,2,0,0,4,35,1,0,4,0,1,3,0,0,3,1,1,3,138,0,0,5,1,1,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
110,3878,3,0,4,1,38,0,0,0,0,0,1,0,0,1,0,0,3,141,0,0,4,0,1,1,3,0,0,1,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
120,3992,4,0,1,4,38,0,0,4,0,3,2,0,1,1,1,1,7,126,0,2,7,0,0,1,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,4107,4,0,1,2,45,0,0,1,0,4,5,0,0,3,0,0,0,131,0,0,3,0,0,0,3,1,0,0,0,11,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0
140,4222,2,0,3,1,47,0,0,12,0,3,2,0,0,2,0,3,4,107,0,0,7,1,0,3,5,0,1,1,0,5,0,0,1,0,0,0,1,3,0,1,1,1,0,2,0
150,4337,3,0,2,5,48,0,0,9,0,1,2,1,0,1,0,1,3,115,0,2,9,0,0,2,2,1,1,0,0,8,0,0,1,0,0,0,0,3,0,0,2,0,0,1,0
160,4451,5,0,1,4,46,1,0,10,0,1,3,1,0,1,0,2,1,118,0,2,3,0,0,0,6,0,1,0,1,3,0,0,0,0,0,0,1,3,0,0,3,0,0,0,1
170,4566,1,0,5,4,72,0,0,4,0,0,4,0,0,0,0,3,2,92,2,1,8,0,0,4,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1
180,4681,2,0,3,9,88,0,0,5,0,2,6,0,0,0,0,2,1,77,0,0,11,0,0,0,3,1,0,0,1,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1
185,NA,1,0,3,8,59,0,0,8,0,0,5,0,0,1,0,1,2,99,0,0,13,0,0,5,3,0,0,0,0,1,2,0,0,0,0,1,0,0,17,0,0,0,0,0,1
