"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Carya","Celtis","Corylus","Fagus","Fraxinus","Juglans","Juniperus","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodium","Cyperaceae","Poaceae","Rubus","Castanea","Planera.aquatica","Mitella","Geranium","Urtica","Rhamnus","Brassicaceae","Plantago","Menispermaceae","Polygonum","Eupatorium","Thalictrum","Oxalis","Aquifoliaceae","Epilobium","Stellaria","Nyssa","Cornus"
253,1282,290,0,2,0,9,6,1,3,4,7,1,0,2,0,2,3,23,41,0,2,135,0,0,0,2,4,11,8,0,5,10,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,1356,233,0,6,4,10,0,1,0,0,5,0,0,4,0,0,0,5,30,0,2,113,1,0,9,5,5,1,0,5,4,14,0,2,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
273,1433,236,0,3,4,11,5,0,4,1,7,3,0,2,0,5,1,11,28,0,3,99,0,1,2,10,6,5,1,4,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,1511,256,1,1,2,13,2,0,1,0,5,1,3,4,0,2,2,27,34,0,3,92,1,0,2,11,4,7,4,2,7,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,1544,306,0,2,1,10,0,1,1,0,6,0,0,6,0,7,0,16,48,0,1,136,19,0,0,5,6,8,3,8,6,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1659,307,0,5,10,3,5,2,1,2,6,2,5,8,0,4,1,28,76,0,0,82,1,1,0,12,6,12,9,5,3,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1737,288,0,4,2,7,7,1,2,1,6,0,1,1,0,6,1,22,49,0,4,118,1,1,2,7,6,7,8,0,6,14,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
320,1825,238,0,3,0,7,3,0,0,9,4,3,0,4,0,6,0,11,46,0,2,97,0,0,4,7,4,6,7,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,1916,284,1,7,7,8,6,2,0,5,10,2,0,4,0,4,0,16,37,0,3,123,2,1,1,11,2,10,6,0,1,10,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,2010,264,0,0,9,12,1,4,1,4,8,1,4,2,0,4,1,2,24,0,1,119,4,1,6,14,2,4,13,5,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,2107,308,0,1,2,6,6,0,3,3,6,1,0,0,0,1,0,10,44,0,3,183,0,0,1,12,3,1,4,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
360,2206,307,0,2,2,8,8,0,2,3,7,3,0,3,0,1,2,13,78,0,4,121,0,0,4,8,1,1,4,2,6,17,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,2309,334,1,6,6,7,6,1,3,5,10,0,2,3,0,5,0,41,55,0,1,126,0,0,1,15,4,5,6,2,6,12,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
380,2415,284,0,4,5,9,2,1,2,6,9,1,0,6,0,3,0,4,34,0,2,143,1,1,3,6,2,4,9,4,7,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,2525,333,0,2,2,13,7,1,1,7,13,0,0,3,0,4,0,17,44,0,6,158,4,0,1,2,3,5,5,7,7,13,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,2637,343,0,1,7,6,9,0,2,1,4,0,3,1,0,8,0,40,77,0,5,127,0,0,1,2,5,5,7,3,8,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,2707,389,0,7,12,18,1,1,0,0,7,0,10,15,0,5,3,8,35,0,4,166,7,0,2,16,2,7,11,9,13,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
416,2825,258,0,1,3,6,2,0,0,5,4,0,4,2,0,8,0,12,23,0,5,129,1,0,0,9,4,5,6,0,12,13,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,2946,223,1,2,1,4,0,0,1,0,8,1,3,8,0,3,0,14,17,0,3,84,3,0,1,8,4,11,10,2,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,3072,232,0,0,3,12,6,0,1,5,5,1,2,0,0,6,0,25,30,0,1,96,0,0,0,6,3,1,6,0,2,14,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,3201,296,1,1,2,10,4,1,3,3,9,1,2,6,0,6,1,10,30,0,2,149,0,0,0,13,4,9,12,3,4,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,3333,267,2,4,7,14,5,0,6,3,6,2,2,1,0,9,0,28,23,0,1,108,0,2,1,11,3,4,8,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
466,3470,268,1,1,2,5,3,0,3,4,6,1,5,4,0,2,2,22,16,0,1,136,0,1,2,7,2,4,10,1,5,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,3610,257,0,4,0,7,1,0,0,7,4,0,7,8,0,4,0,12,52,0,0,100,0,0,2,3,6,5,5,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,3755,256,0,0,3,9,1,0,2,0,8,1,3,1,0,4,0,34,22,0,0,114,0,1,0,11,7,2,9,2,5,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,3829,267,0,4,5,21,3,0,1,0,7,0,1,7,0,2,0,2,49,0,0,86,4,0,1,9,4,5,5,10,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0
496,3903,289,0,1,1,8,2,0,1,0,7,2,2,1,0,4,0,31,13,0,4,183,1,0,0,5,3,2,2,2,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,4056,274,1,1,1,6,4,0,3,6,6,1,5,8,0,5,0,9,44,0,1,112,0,1,1,7,4,4,13,1,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,4213,264,0,2,5,3,5,0,0,2,7,2,0,1,0,6,0,29,29,0,2,137,0,0,0,5,2,3,7,3,1,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,4374,271,0,7,2,1,2,0,0,0,11,0,0,6,0,0,0,27,31,0,4,132,5,0,0,4,4,10,5,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,4540,243,0,2,2,1,2,1,0,2,6,1,0,3,0,1,0,31,56,0,0,87,0,1,0,1,8,6,7,3,3,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,4710,345,0,1,2,6,5,0,2,2,12,4,1,6,0,2,0,79,30,0,2,125,0,1,1,7,11,1,8,4,6,23,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,4885,252,0,3,2,6,0,0,0,1,6,0,0,3,0,2,0,27,28,0,1,90,0,0,0,4,9,7,22,1,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,5064,284,0,0,5,3,3,0,0,4,8,0,3,0,0,6,0,52,38,0,0,112,2,0,0,14,6,6,5,4,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,5248,347,0,6,1,7,1,0,2,0,4,0,6,2,0,4,1,60,73,0,0,81,0,0,0,7,11,6,24,6,9,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,5418,289,2,2,1,2,2,0,0,7,9,3,4,4,0,0,0,36,27,0,4,127,2,1,1,10,9,7,10,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,5495,344,0,1,8,2,3,0,1,5,6,3,2,2,0,2,0,90,55,0,0,110,0,1,1,7,10,2,9,3,6,11,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,5690,314,0,1,2,2,0,1,0,4,9,3,2,0,0,4,0,67,42,0,1,125,0,0,0,5,6,8,8,6,6,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,5890,239,0,3,2,4,4,0,1,4,10,2,3,6,0,3,0,44,38,0,1,79,0,1,0,3,4,7,8,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619,6095,232,0,2,2,1,2,0,0,4,13,2,6,4,0,4,0,32,32,0,1,95,0,0,1,4,1,1,4,0,4,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,6305,233,0,3,2,1,0,0,1,1,2,1,0,3,0,4,1,54,47,0,0,66,0,1,4,10,5,5,5,2,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,6521,254,0,3,3,4,2,0,2,2,9,1,0,1,0,3,0,49,41,0,0,99,0,1,0,6,3,7,8,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649,6741,289,0,7,3,7,8,1,0,3,8,0,0,0,0,5,0,51,42,0,3,117,3,1,1,0,3,2,2,3,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
659,6968,232,0,0,6,4,2,0,0,0,9,1,1,5,0,1,0,43,37,0,2,67,7,0,0,6,13,7,0,8,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669,7199,385,1,3,0,1,7,0,0,1,13,0,5,4,0,12,1,116,60,0,1,108,0,2,0,20,7,0,6,2,1,10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,7365,334,0,7,1,3,3,0,1,0,8,2,1,6,0,16,0,94,58,0,1,77,0,0,0,26,2,2,7,6,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,7606,333,0,4,6,3,3,0,3,2,11,2,1,0,0,8,0,55,52,0,5,114,1,0,0,41,3,2,2,3,2,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
696,7852,347,0,5,1,0,7,0,3,3,3,3,2,11,0,17,3,27,77,0,2,102,5,4,2,39,6,4,1,4,2,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
706,8105,317,0,6,1,1,3,3,4,2,3,1,1,2,0,10,0,78,64,0,2,73,0,0,0,31,8,3,2,5,5,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,8363,550,0,13,4,2,21,0,2,3,5,2,5,16,0,6,0,140,100,0,3,107,2,0,0,68,12,16,5,6,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,8627,300,0,4,1,3,2,3,5,0,2,5,3,12,0,3,9,45,117,0,1,28,4,1,0,19,5,3,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
736,8897,302,3,2,2,2,6,0,1,3,3,0,1,2,0,12,3,99,43,0,4,45,0,3,0,48,5,2,2,3,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,9201,322,3,1,1,14,1,6,1,0,4,3,0,3,0,7,0,92,89,0,6,40,6,1,0,34,2,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
757,9484,360,0,4,2,1,6,0,5,3,4,1,0,12,0,16,0,76,81,0,7,66,2,1,0,31,13,4,4,11,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,9773,373,3,7,0,2,5,0,3,3,8,1,1,18,0,11,0,101,95,0,9,48,0,3,0,41,2,0,0,1,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,10068,460,3,8,2,4,8,0,1,0,15,3,2,9,0,10,10,95,125,0,5,55,3,1,0,81,2,2,2,1,2,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,10370,439,3,7,2,4,7,0,0,0,8,1,0,6,0,15,2,167,65,0,11,62,0,1,0,64,0,4,1,2,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797,10678,362,1,6,0,10,5,0,4,5,8,5,1,3,0,8,2,139,42,0,12,42,1,1,0,52,0,4,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
809,11056,309,20,0,1,16,0,0,1,6,9,0,2,6,0,0,37,142,34,0,11,11,0,0,0,9,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,11217,263,7,0,1,8,0,0,0,0,18,0,2,12,0,0,31,41,123,0,10,4,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,11543,264,11,0,2,1,1,0,1,0,19,0,4,5,0,3,168,7,14,0,15,2,0,0,0,1,1,2,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834,11876,276,23,0,0,1,0,0,0,0,21,0,1,9,0,0,174,10,19,0,14,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,12215,207,31,0,0,0,0,0,0,0,17,0,9,11,0,3,97,0,11,0,16,5,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,12562,207,11,0,0,1,0,0,0,0,15,0,3,16,0,3,110,0,14,0,19,5,0,0,0,0,3,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864,12915,252,6,0,0,0,1,0,0,5,19,0,2,11,0,0,156,0,12,0,16,7,1,0,2,1,3,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,13094,254,34,0,0,1,0,0,2,4,18,0,0,15,0,3,102,9,24,0,16,9,1,0,0,1,5,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,13422,221,13,0,0,2,1,0,0,0,22,0,5,12,0,0,107,0,4,1,12,2,4,0,2,2,4,9,0,1,1,5,0,3,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
887,NA,213,22,0,0,0,0,0,0,0,17,0,5,19,0,5,87,0,1,0,13,0,16,0,0,1,3,5,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
