"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Alnus","Arceuthobium","Betula","Caprifoliaceae","Cupressaceae","Elaeagnus","Ephedra.nevadensis.type","Fraxinus","Larix","Picea","Pinus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiineae.undiff.","Cyperaceae","Galium","Iva.xanthifolia","Lamiaceae","Onagraceae","Poaceae","Ranunculus","Rosaceae","Rumex","Salsola","Thalictrum","Xanthium"
75,265,250,0,0,12,0,10,0,0,0,1,0,1,26,99,1,0,10,0,0,0,0,0,0,0,35,5,0,0,0,2,16,0,0,0,0,31,0,0,1,0,0,0
80,296,250,1,0,13,0,14,0,1,0,0,0,0,19,112,2,0,3,1,0,0,1,0,0,0,35,4,0,0,0,3,15,0,0,0,0,24,1,0,0,0,1,0
90,360,319,4,0,20,0,9,0,0,0,0,0,1,33,165,1,0,1,0,0,0,0,0,0,0,40,2,0,0,2,5,15,0,0,0,1,20,0,0,0,0,0,0
100,429,250,2,0,14,0,11,0,0,0,0,1,0,24,110,1,0,3,0,0,0,0,0,3,0,34,2,0,0,0,3,14,0,0,0,0,27,0,0,0,0,1,0
110,503,297,1,0,19,0,15,0,1,0,0,0,0,31,143,1,0,9,0,0,0,0,0,0,0,40,1,1,0,0,7,11,0,0,0,0,16,0,1,0,0,0,0
120,582,250,2,0,13,0,11,0,1,0,0,0,1,21,97,1,0,5,0,0,0,0,0,0,0,46,1,0,0,1,3,9,0,0,0,0,36,0,1,1,0,0,0
130,665,250,1,0,11,0,17,0,1,0,0,0,0,35,98,1,0,8,0,0,0,1,0,0,0,37,1,0,0,0,8,8,0,0,1,0,20,0,0,0,0,2,0
140,753,250,1,0,17,0,14,0,1,0,0,0,0,30,86,1,0,13,0,0,0,1,0,0,0,39,1,0,0,0,3,12,0,0,0,0,29,0,0,0,0,2,0
150,846,250,3,1,12,0,14,0,1,0,0,0,0,31,95,2,0,14,0,0,0,1,0,0,0,30,3,0,0,1,2,9,0,0,0,0,29,0,0,1,0,1,0
160,943,250,1,0,19,0,12,0,0,0,0,0,0,22,88,3,0,7,1,0,0,0,0,1,0,41,2,0,0,0,1,13,0,1,0,0,38,0,0,0,0,0,0
170,1045,250,1,0,15,0,8,0,2,0,0,0,0,17,93,4,0,8,3,0,0,0,0,0,0,36,2,0,0,0,1,20,0,0,0,0,40,0,0,0,0,0,0
180,1151,288,4,0,17,0,10,0,0,0,0,0,0,31,126,6,0,9,0,0,0,0,0,0,0,36,4,0,0,0,2,11,0,0,0,0,32,0,0,0,0,0,0
190,1262,250,3,0,7,0,11,0,0,0,0,0,0,20,100,1,0,9,0,0,0,1,0,0,0,44,3,0,0,0,5,13,0,0,0,0,29,2,0,1,0,1,0
200,1377,250,1,0,13,0,10,0,0,0,0,0,0,29,91,0,0,4,0,0,0,0,0,0,0,43,5,0,0,1,3,18,0,0,0,0,32,0,0,0,0,0,0
210,1497,250,1,0,15,0,6,0,1,0,0,0,0,31,114,0,0,5,1,0,0,0,0,0,0,27,0,0,0,0,3,15,0,0,0,0,31,0,0,0,0,0,0
220,1621,250,1,0,13,0,12,0,1,0,0,0,0,30,98,1,0,7,2,1,0,0,0,0,0,28,3,0,0,0,1,16,0,0,0,0,35,0,0,0,0,0,1
230,1749,250,2,0,7,0,8,0,0,0,0,0,0,36,110,1,0,4,0,0,0,0,0,0,0,43,2,0,0,1,5,13,0,0,0,0,16,1,0,0,0,1,0
240,1882,250,0,0,9,0,7,0,1,0,0,0,0,32,111,1,0,6,1,0,0,0,0,0,0,25,1,1,0,0,5,16,0,0,0,0,33,0,0,0,0,1,0
250,2019,250,0,0,23,0,15,0,0,0,0,0,0,32,94,1,0,7,0,0,0,0,0,0,0,31,1,0,0,0,4,11,0,0,0,0,30,0,1,0,0,0,0
260,2160,250,0,0,14,0,9,0,2,0,0,0,0,39,102,2,0,6,0,0,0,1,0,0,0,24,0,0,0,0,4,21,0,0,0,0,24,1,0,0,0,1,0
275,2380,269,1,0,20,0,6,0,0,0,0,0,0,20,126,0,0,3,1,0,0,0,0,0,0,47,2,0,0,0,7,18,0,0,0,0,14,0,1,0,0,3,0
280,2455,279,0,0,11,0,6,0,1,0,0,0,1,38,110,0,0,4,1,0,0,0,0,0,0,43,3,0,0,0,5,19,0,0,0,0,35,0,0,0,0,2,0
290,2609,257,6,0,17,0,9,0,0,0,0,0,0,34,71,1,1,1,0,0,0,0,0,0,0,59,1,0,0,0,6,12,1,0,0,0,36,0,0,0,0,2,0
300,2767,431,4,0,22,0,15,0,1,0,0,0,0,73,227,0,1,4,0,0,0,0,0,0,0,28,0,0,0,0,5,17,2,0,0,0,31,1,0,0,0,0,0
310,2929,326,2,0,24,0,9,0,0,0,0,0,0,50,151,1,0,3,0,0,0,0,0,0,0,36,3,0,0,0,6,17,0,0,0,0,23,0,0,0,0,1,0
320,3095,340,0,0,22,0,12,0,1,0,0,0,0,38,170,0,0,7,0,0,0,0,0,0,0,29,0,1,0,0,9,18,0,0,0,0,32,0,0,0,0,1,0
330,3265,285,2,0,28,0,14,0,0,0,0,0,0,34,115,3,0,10,0,0,0,0,0,4,0,22,2,0,0,0,6,17,0,0,0,0,27,0,1,0,0,0,0
340,3439,331,2,0,23,0,7,0,0,0,0,0,0,33,163,0,0,4,1,0,0,0,0,0,0,35,2,0,0,0,6,25,0,0,0,0,28,0,0,0,0,2,0
350,3617,355,5,0,24,0,5,0,1,0,0,0,1,39,189,1,0,0,1,0,0,0,0,2,0,36,4,0,0,0,8,25,0,0,0,0,13,0,0,0,0,1,0
360,3799,317,1,0,27,0,19,0,0,0,0,0,0,20,150,3,0,7,0,0,1,0,2,0,0,25,1,0,0,0,4,20,0,0,0,0,33,0,0,0,0,4,0
370,NA,330,1,0,11,0,11,0,2,0,1,0,0,30,151,5,0,8,0,0,0,0,0,0,0,23,5,0,0,0,5,22,0,0,0,0,51,0,1,0,0,3,0
375,NA,305,4,0,10,0,13,0,0,0,0,0,0,34,138,0,0,7,0,0,0,0,0,1,0,27,1,0,0,1,2,29,0,0,0,0,37,0,0,0,0,1,0
