"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Arceuthobium","Betula","Carya","Celtis","Corylus","Cupressaceae","Ephedra.nevadensis.type","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Morus","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.argentea","Shepherdia.canadensis","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Iva.annua.type","Onagraceae","Plantago","Poaceae","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum","Adiantum","Botrychium","Dryopteris.type","Equisetum","Lycopodium","Osmunda","Pteridium","Selaginella.selaginoides","Sphagnum","Brasenia.schreberi","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sparganium.type","Typha.latifolia","Indeterminable","Unknown","pre.Quaternary"
0,-30,1,0,11,4,0,42,0,0,1,7,0,0,4,13,1,2,3,0,0,11,1,46,1,0,32,0,0,0,0,1,7,17,1,43,0,0,1,0,0,8,0,0,0,13,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,0,1,1,3,1,0
10,79,1,0,8,6,0,47,1,0,0,0,0,0,9,7,2,0,5,0,0,4,1,55,0,0,31,0,0,0,0,4,12,13,0,27,1,2,1,0,4,0,0,3,0,12,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,1,0,6,4,0
20,187,1,0,9,5,0,40,4,0,0,14,0,0,5,10,0,0,6,0,0,9,3,50,0,1,24,2,0,0,0,3,15,6,2,46,0,2,1,0,4,5,0,0,1,21,1,0,0,0,1,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0
30,296,0,0,11,4,0,22,1,0,0,0,0,0,9,4,1,0,3,0,1,9,2,65,0,0,50,1,0,0,0,0,16,7,0,5,0,0,1,0,2,1,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
40,405,0,0,7,3,0,36,1,0,0,8,0,0,5,8,1,0,4,0,1,13,2,54,0,0,36,0,0,0,0,1,19,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,514,0,0,6,1,0,25,2,0,0,1,0,0,5,12,1,0,5,0,0,8,1,61,2,0,46,0,0,0,0,1,16,8,0,6,0,1,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
60,624,1,0,12,2,0,21,4,0,0,8,0,0,11,4,1,0,2,0,0,8,0,50,0,1,48,2,0,0,0,0,18,11,0,1,0,1,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,4,0,0,0,0,1,0,0
70,733,0,0,8,3,0,24,3,0,0,2,0,0,13,8,3,0,3,0,0,7,1,57,0,0,35,1,0,0,0,3,22,11,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,7,0,0,0,0,1,0,0,0,0,5,0,0
80,844,1,0,9,3,0,24,0,0,0,5,0,0,26,9,0,0,7,0,0,12,1,33,1,0,45,0,0,0,0,1,17,9,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
90,954,0,0,13,2,0,26,2,0,0,3,0,0,18,7,1,0,1,0,0,9,0,41,0,0,40,0,0,0,0,4,21,14,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0
100,1065,0,0,14,3,0,23,0,0,0,4,0,0,40,12,0,1,1,0,0,7,1,26,1,1,40,0,0,0,0,1,18,10,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0
110,1177,0,0,10,1,0,29,1,0,0,1,0,0,22,6,1,0,5,0,0,6,0,46,0,0,34,0,0,0,0,2,22,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0
120,1290,0,0,15,2,0,15,0,0,0,2,0,0,31,12,2,0,2,0,0,12,3,37,0,0,33,0,0,0,0,4,22,10,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0
130,1403,0,0,21,0,1,24,4,0,0,2,0,0,32,7,0,0,6,0,0,16,2,28,0,0,30,0,0,0,0,0,18,10,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0
140,1517,0,0,15,1,0,27,4,0,0,2,0,0,36,8,0,0,3,0,0,14,2,35,0,0,33,0,0,0,0,1,10,10,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0
150,1632,0,1,14,0,0,26,13,0,0,0,0,0,41,5,0,0,1,0,0,6,0,30,0,0,39,0,0,0,0,2,14,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,10,0,0
160,1747,0,0,11,1,0,21,2,0,0,19,0,0,31,9,0,0,6,0,0,11,1,30,1,0,38,0,0,0,0,1,10,9,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,3,1,0
170,1864,1,0,13,0,0,18,5,0,0,1,0,0,52,7,1,0,3,0,0,12,1,28,0,1,30,0,0,0,0,4,8,15,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,6,0,0
180,1981,0,0,16,1,0,19,3,0,0,13,0,0,48,6,2,0,6,0,0,12,0,27,0,3,19,0,0,0,0,3,11,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0
190,2100,0,0,10,3,0,20,3,0,0,3,0,0,46,7,1,0,6,0,0,6,1,46,0,1,20,0,0,0,0,9,12,10,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0
200,2220,1,0,13,0,0,29,3,0,0,5,0,0,47,12,1,0,3,0,0,18,0,34,0,0,14,0,0,0,0,1,9,10,0,0,0,1,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,4,4,0,0,3,3,0,0
