"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus","Betula","Betulaceae.undiff.","Carya","Castanea","Celtis","cf..Cupressaceae","cf..Morus","cf..Taxus","Corylus","Cupressaceae","Ephedra","Ericaceae.type","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Hudsonia","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lonicera","Myrica.type","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus","Quercus","Rhamnaceae","Rhus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia","Shepherdia.argentea","Tilia","Tsuga","Ulmus","Ambrosia.type","Apiaceae","Araliaceae","Arceuthobium.pusillum","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Campanulaceae","Caryophyllaceae","cf..Humulus","Chenopodiaceae.undiff.","Cyperaceae","Epilobium","Euphorbia.subg..Chamaesyce","Fabaceae","Humulus","Iva.annua","Iva.xanthifolia","Lamiaceae.undiff.","Lycopus.type","Plantago.lanceolata.type","Plantago.major.type","Plantago.undiff.","Poaceae","Polygonum.bistorta.type","Polygonum.persicaria.type","Polygonum.undiff.","Potentilla","Ranunculaceae.undiff.","Ranunculus","Rosaceae.undiff.","Rumex","Urtica","Xanthium.type"
330,3190,592,2,0,1,4,0,22,42,0,0,0,1,0,0,0,0,7,0,0,2,1,3,0,0,0,1,0,2,0,0,0,3,5,4,113,90,237,0,2,0,23,0,0,1,0,0,0,0,0,10,4,2,0,0,0,4,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
350,3342,656,2,0,2,2,0,20,45,1,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,2,0,134,184,194,1,4,0,21,0,0,1,0,0,0,0,1,7,5,3,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
370,3493,700,6,0,3,3,0,34,46,0,0,0,0,0,0,0,5,7,0,0,2,1,6,0,0,0,0,0,0,0,0,0,3,6,0,203,119,206,0,2,0,19,0,0,1,0,0,0,0,0,4,3,4,0,0,0,3,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0
390,3645,591,2,0,0,5,0,22,36,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,4,0,0,0,6,4,0,66,50,347,0,0,0,23,0,0,3,0,0,0,0,1,0,3,2,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
430,3948,810,1,0,2,1,1,25,47,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,4,0,204,115,342,1,0,0,39,0,0,0,0,0,0,0,0,1,7,7,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
470,4316,465,0,0,2,5,0,16,14,0,0,0,0,0,0,0,2,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,96,96,166,0,1,0,24,0,0,1,0,0,0,0,0,1,4,6,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
490,4543,643,2,0,6,4,0,28,35,0,0,0,3,0,0,0,1,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,2,1,59,22,382,0,0,0,59,0,0,1,0,0,0,0,1,1,4,6,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0
530,4997,744,2,0,2,6,0,15,20,0,0,0,0,0,0,0,1,10,1,0,0,1,3,0,0,0,0,0,0,0,0,0,9,2,0,165,104,334,0,6,0,38,0,0,1,0,0,0,0,0,4,4,3,0,0,0,5,2,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
570,5451,959,8,0,3,7,0,25,61,0,0,0,1,0,0,0,2,1,0,0,1,1,3,0,0,0,0,0,4,0,0,0,7,4,0,185,119,400,3,4,1,47,1,0,1,0,1,0,0,0,6,12,8,0,0,0,5,9,0,0,0,0,8,9,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
590,5679,460,0,0,0,4,0,25,41,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,4,45,40,208,0,2,0,45,1,0,1,0,0,0,0,0,2,9,5,1,0,0,6,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
609,5942,530,2,0,0,6,0,33,39,0,1,0,0,0,0,0,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,3,0,77,28,218,0,2,0,66,0,0,2,0,2,0,0,1,0,8,7,0,0,0,6,1,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1
620,6327,772,2,0,0,9,0,62,86,4,0,0,0,0,0,0,2,0,0,0,1,0,6,0,0,0,2,0,0,1,0,1,13,1,0,59,26,334,1,0,0,66,1,0,0,0,0,0,0,2,0,44,22,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
630,6677,719,1,0,0,12,1,44,75,5,0,0,0,0,0,0,3,2,0,0,1,4,7,0,0,0,1,0,0,0,0,0,13,7,2,39,30,338,1,1,0,43,0,0,2,0,0,0,0,4,0,35,12,0,0,0,16,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
650,7377,530,0,0,1,4,0,19,47,1,2,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,1,26,17,246,1,1,0,54,0,0,2,0,0,0,0,0,0,22,27,0,0,0,10,0,0,0,0,0,5,4,0,0,0,0,1,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
670,8077,545,0,0,0,3,0,22,68,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,6,2,0,104,75,169,0,5,0,22,0,0,0,0,0,0,0,0,2,20,12,0,0,0,11,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
690,8754,745,4,0,0,2,0,26,35,0,3,0,0,0,0,0,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,13,2,1,198,41,348,0,5,0,19,0,0,1,0,0,0,0,0,0,12,6,0,0,0,3,1,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
710,9407,464,6,0,0,1,0,13,22,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,1,0,0,3,9,16,4,45,1,254,0,1,0,16,0,0,3,0,1,0,0,0,0,16,7,0,0,0,18,2,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
730,10065,745,4,0,0,7,0,7,50,0,2,0,2,0,0,0,2,2,0,0,0,1,8,0,0,0,1,0,0,0,0,2,13,13,0,263,11,210,4,7,0,33,0,0,5,0,0,0,0,0,0,70,7,0,0,0,8,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
750,10724,650,2,0,0,3,0,4,33,0,3,0,2,0,0,0,4,3,0,0,0,1,8,0,0,0,2,0,4,0,0,0,11,20,0,173,0,248,0,7,0,53,0,0,4,0,0,0,0,0,0,38,8,0,0,0,10,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
760,11053,553,10,0,0,2,0,1,9,0,4,0,0,0,0,0,1,3,0,0,0,1,4,0,0,0,4,0,2,0,0,0,2,34,0,211,0,216,0,3,0,23,0,0,1,0,0,0,0,0,0,14,3,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
770,11383,435,1,0,0,3,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,5,1,1,0,0,1,3,88,0,176,2,42,0,10,0,30,0,0,3,0,0,0,0,0,0,7,1,0,0,0,19,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
780,11712,459,2,0,0,5,0,6,72,0,1,0,0,0,0,0,7,12,0,0,1,7,34,0,1,0,0,0,1,0,0,1,0,112,0,9,0,5,0,9,0,46,0,0,20,0,0,0,0,1,0,40,9,0,0,0,32,1,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0
790,12041,451,0,0,1,0,0,17,214,1,0,0,0,0,1,0,3,7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,11,58,2,3,0,2,0,3,0,13,0,0,13,0,1,0,0,0,0,7,7,0,0,0,26,0,0,1,0,1,1,32,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,1,0,0,1,0,0
800,12370,585,0,0,0,0,0,23,176,19,0,0,0,0,0,0,8,4,0,1,0,3,6,0,0,0,1,0,0,0,0,0,7,103,0,3,0,2,2,10,0,11,0,0,13,0,0,0,0,0,0,9,26,0,0,0,76,12,0,0,1,0,9,21,0,0,0,0,0,0,0,0,0,1,0,37,0,0,0,0,0,0,1,0,0,0
803,12469,437,0,0,0,0,0,2,125,0,0,0,0,6,0,0,0,9,0,7,0,0,6,0,0,0,0,0,0,0,0,0,3,86,0,4,0,2,1,5,0,9,0,0,20,0,0,1,0,0,0,4,18,0,0,0,68,4,0,0,0,0,5,37,0,0,0,0,1,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0
