"sample.depths","sample.ages","Eucalyptus.spike..number.counted.","Eucalyptus.suspension..concentration..grains.ml.","Sample.volume..ml.","Eucalyptus.suspension..volume.added..ml.","Picea.undiff.","Picea.mariana","Pinus.undiff.","Pinus.strobus","Pinus.banksiana.Pinus.divaricata","Abies","Tsuga.undiff.","Tsuga.canadensis","Larix","Betula","Populus","Quercus","Ulmus","Fagus.undiff.","Carya","Acer.undiff.","Fraxinus.undiff.","Tilia","Ostrya.Carpinus","Juglans","Castanea","Taxus.undiff.","Juniperus.Thuja","Alnus.viridis.subsp..crispa","Alnus.incana","Salix","Corylus","Shepherdia.canadensis","Myrica.undiff.","Cornus","Nemopanthus","Ericaceae","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Artemisia","Chenopodiaceae","Rosaceae","Polygonum","Rumex","Oxyria.digyna","Caryophyllaceae","Ranunculaceae.undiff.","Thalictrum","Saxifragaceae","Onagraceae","Menyanthes.trifoliata","Plantaginaceae.undiff.","Plantago","Caprifoliaceae.undiff.","Unknown","Cyperaceae","Lycopodiaceae.undiff.","Lycopodium.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Huperzia.selago","Selaginella.selaginoides","Equisetum","Pteridophyta.undiff.","Botrychium","Osmunda.undiff.","Polypodiaceae","Sphagnum","Typha.undiff.","Sparganium","Potamogeton","Nuphar","Nymphaea","Callitriche","Myriophyllum","Isoëtes","Pediastrum.undiff.","Dinophyta","Other.herbs","Acer.Saccharum","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fagus.Grandifolia","Myrica.Gale","Taxus.canadensis","Viburnum.nudum","Typha.latifolia","Osmunda.Cinnamomea","Pediastrum.boryanum.var..integrum","Pediastrum.boryanum.subsp..longicorne","Pediastrum.angulosum","Other.aquatics","Brasenia.schreberi"
0,-35,302,138100,1,1,40,0,22,44,7,4,49,0,1,85,1,5,2,28,0,3,1,0,0,0,0,0,0,3,4,0,0,0,6,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,204,327,138100,1,1,46,0,19,25,7,11,20,0,4,79,3,6,2,20,0,4,2,0,0,0,0,0,0,10,6,0,0,0,5,0,0,0,18,0,3,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,12,0,0,4,2,0,0,0,0,1,0,0,2,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,443,210,138100,1,1,27,0,22,42,4,6,59,0,1,77,3,9,3,26,0,5,1,0,1,0,0,0,3,1,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,1,0,0,6,0,0,1,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
60,683,278,138100,1,1,21,0,29,54,3,4,48,0,0,94,1,5,0,18,0,4,3,0,3,0,0,1,2,3,3,0,0,0,3,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,3,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
80,922,150,138100,1,1,15,0,13,65,3,5,87,0,2,89,0,2,1,12,0,3,3,0,1,0,0,0,2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
100,1161,200,117200,1,2,30,0,27,38,7,12,33,0,1,97,0,3,0,25,0,3,3,0,1,0,1,0,0,1,6,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,0,0,0,1,0,0,0,1,0,2,4,0,0,1,1,1,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
120,1401,150,117200,1,2,18,0,24,62,8,8,70,0,0,105,0,6,1,26,0,4,7,0,0,0,0,0,1,0,5,0,0,0,8,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1640,150,117200,1,2,28,0,17,57,7,11,36,0,0,116,0,4,2,20,0,10,5,0,3,0,0,1,4,1,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
160,1879,169,117200,1,2,19,0,27,34,4,8,47,0,1,90,0,4,1,24,0,3,5,0,2,0,0,1,0,3,12,0,1,0,11,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,2,1,0,0,9,0,0,1,2,1,0,0,1,1,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
180,2118,190,117200,1,2,9,0,20,37,5,3,92,0,0,80,1,1,2,42,0,7,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
