"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Aquifoliaceae.undiff.","Betula","Carya","Castanea","Celtis","Cupressaceae","Fagus","Fraxinus.undiff.","Fraxinus.pennsylvanica.F..americana.type","Ilex","Juglans.cinerea","Juglans.undiff.","Larix","Morus","Nyssa","Ostrya.Carpinus","Picea","Pinus.undiff.","Pinus.subg..Strobus","Pinus.subg..Pinus","Populus.undiff.","Populus.balsamifera.type","Prunus.Sorbus","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus.viridis.subsp..crispa","Alnus.incana","Alnus.undiff.","Anacardiaceae.undiff.","Cephalanthus","Cornus","Corylus","Ericaceae","Myrica","Parthenocissus","Rhus","Rubus","Sambucus","Viburnum","Vitis","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae..high.spine.","Asteraceae..low.spine.","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Berberidaceae","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Cyperaceae","Epilobium","Galium","Hypericum","Impatiens","Plantago","Poaceae","Polygonum","Potentilla","Ranunculaceae.undiff.","Rosaceae.trees","Saxifragaceae","Thalictrum","Urtica"
5.5,17,471,0,0,2,0,1,3,0,40,4,3,0,15,6,3,0,1,0,0,2,0,0,1,4,86,0,0,0,0,0,88,1,0,14,1,1,0,1,0,4,1,2,5,6,0,1,2,0,0,0,11,0,0,0,18,17,5,0,0,1,1,0,81,0,1,1,0,0,37,0,0,0,0,0,0,0
10.5,71,369,0,0,7,0,2,0,0,25,0,4,0,13,9,1,2,1,0,0,0,1,0,0,1,0,43,47,0,0,1,98,1,0,21,0,0,0,3,0,0,0,1,25,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,35,0,0,0,0,0,0,0
32,305,438,0,0,1,0,2,1,0,40,8,2,0,8,9,2,0,0,0,0,0,0,0,0,2,67,0,0,2,0,0,109,4,0,13,4,0,0,3,0,22,0,4,5,8,0,0,1,2,0,0,10,0,0,0,0,0,15,0,0,0,0,1,46,0,0,0,0,0,46,1,0,0,0,0,0,0
50.5,759,341,0,0,0,0,0,7,0,17,1,1,0,5,16,3,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,75,9,3,9,0,0,0,8,0,66,0,3,0,5,0,0,0,0,0,1,0,0,0,1,0,6,0,3,9,1,0,1,30,0,0,1,0,0,24,0,0,0,0,0,0,0
122,2515,350,0,0,1,0,1,0,0,19,3,0,0,8,8,2,0,3,0,1,0,0,0,1,3,32,0,0,1,0,0,81,6,1,6,2,0,0,3,0,54,0,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,41,0,0,9,0,0,45,0,0,0,0,0,1,0
150.5,3216,395,0,0,4,0,1,0,0,19,4,1,0,0,12,2,0,2,0,0,0,0,2,0,0,14,0,0,1,0,0,88,7,0,3,1,0,0,3,0,36,0,1,8,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,12,0,0,18,0,0,143,0,0,0,0,1,1,0
160,3449,375,0,0,4,0,1,0,0,11,0,1,0,1,17,2,0,1,0,1,1,0,1,1,1,14,0,0,0,0,0,85,10,0,3,2,0,0,3,0,25,0,3,9,1,0,0,0,3,0,0,1,1,0,0,0,0,5,0,0,4,0,0,17,0,1,18,0,0,127,0,0,0,0,0,0,0
209,4653,360,0,0,6,0,1,0,0,8,1,0,0,1,16,4,0,2,0,0,1,0,0,1,1,12,0,0,2,0,0,85,5,1,2,0,0,0,9,0,21,4,2,5,0,0,0,1,2,0,0,0,0,1,0,0,0,3,0,0,4,0,1,11,0,1,1,1,0,144,0,0,0,0,0,0,0
221,4947,361,0,1,4,0,2,4,2,15,1,0,0,3,16,8,1,0,0,0,3,0,1,0,0,0,8,8,0,0,0,57,1,1,3,1,0,0,3,0,27,4,3,6,2,0,0,0,1,0,0,1,1,2,0,0,0,3,0,0,0,0,0,14,0,1,5,0,0,147,0,0,0,0,0,1,0
233,5242,353,0,0,0,0,0,4,0,7,0,0,0,0,18,3,0,1,0,1,0,0,4,0,0,0,7,2,0,0,0,86,1,0,6,2,0,0,6,0,10,0,1,3,0,0,0,0,2,0,1,2,0,0,0,0,5,0,0,0,20,1,0,3,0,0,11,0,1,145,0,0,0,0,0,0,0
240,5414,459,0,0,0,0,0,5,0,12,2,1,0,0,29,2,0,0,0,1,0,0,5,0,0,0,11,11,0,0,1,123,2,0,7,2,0,0,6,0,6,0,2,12,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,8,0,1,9,0,0,0,0,1,193,0,0,0,0,0,0,0
254,5847,554,1,0,3,1,0,0,0,14,0,0,0,6,14,2,1,1,0,2,0,0,21,2,1,0,14,14,2,0,0,122,3,0,15,6,0,0,5,0,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,22,0,0,0,1,0,267,0,0,0,0,0,0,0
280,6842,309,0,0,0,0,0,1,0,9,2,0,0,1,7,1,3,0,1,0,0,0,4,0,1,21,0,0,0,0,0,50,1,0,5,3,0,0,7,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,14,0,0,4,0,0,162,0,0,0,1,0,0,0
290,7225,423,0,0,2,0,0,4,0,17,0,0,0,4,15,3,3,0,0,0,0,0,9,0,0,0,8,34,0,0,0,107,0,0,10,4,0,0,8,0,3,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,13,0,0,2,0,0,163,1,0,0,0,0,0,0
310,7511,445,0,0,2,0,0,2,0,19,0,0,0,2,4,4,1,0,0,0,1,0,1,1,0,41,0,0,0,0,0,130,2,0,10,5,0,0,19,0,9,0,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,11,0,0,2,0,1,30,0,0,5,0,0,136,0,0,0,0,0,0,0
