"sample.depths","sample.ages","upland.sum","Picea.undiff.","Picea.mariana","Pinus.undiff.","Pinus.strobus","Pinus.banksiana.Pinus.divaricata","Abies","Tsuga.undiff.","Tsuga.canadensis","Larix","Betula","Populus","Quercus","Ulmus","Fagus.undiff.","Carya","Acer.undiff.","Fraxinus.undiff.","Tilia","Ostrya.Carpinus","Juglans","Castanea","Taxus.undiff.","Juniperus.Thuja","Alnus.viridis.subsp..crispa","Alnus.incana","Salix","Corylus","Shepherdia.canadensis","Myrica.undiff.","Cornus","Nemopanthus","Ericaceae","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Artemisia","Chenopodiaceae","Rosaceae","Polygonum","Rumex","Oxyria.digyna","Caryophyllaceae","Ranunculaceae.undiff.","Thalictrum","Saxifragaceae","Onagraceae","Plantaginaceae.undiff.","Plantago","Caprifoliaceae.undiff.","Cyperaceae","Other.herbs","Acer.Saccharum","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fagus.Grandifolia","Myrica.Gale","Taxus.canadensis","Viburnum.nudum"
200,2358,304,16,0,11,68,8,5,17,0,0,123,3,4,2,19,0,7,6,0,0,0,0,0,0,1,5,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
220,2597,315,8,0,15,29,2,2,78,0,0,102,0,4,0,42,0,1,7,3,1,0,0,1,0,1,4,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
240,2836,317,5,0,14,37,1,3,76,0,0,109,2,7,1,36,1,1,7,0,1,0,0,1,0,2,0,0,0,0,4,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
260,3075,303,2,0,10,56,1,1,70,0,0,120,1,10,1,13,0,3,2,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
280,3407,297,6,0,19,55,4,2,51,0,0,117,0,16,1,2,1,3,6,0,1,0,0,0,0,1,7,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
300,3741,313,10,0,29,94,3,3,40,0,0,92,0,21,0,6,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
320,4075,331,7,0,21,58,1,5,18,0,0,118,4,57,1,1,0,5,7,0,2,0,0,0,0,1,8,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
340,4409,307,1,0,22,40,1,2,37,0,0,142,0,28,1,1,0,3,7,0,2,0,0,2,0,1,5,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
360,4743,339,3,0,27,68,2,5,29,0,0,151,0,33,1,2,0,6,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,5077,301,10,0,31,66,4,4,19,0,0,108,0,29,2,0,0,4,7,0,2,0,0,2,1,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
400,5411,348,3,0,30,132,2,2,12,0,0,112,0,34,2,2,0,7,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
420,5765,309,3,0,35,53,0,0,76,0,0,89,2,14,1,1,0,2,2,0,0,0,0,0,0,4,8,0,0,0,5,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
440,6138,303,4,0,24,76,2,2,70,0,0,82,1,23,0,0,0,2,3,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
460,6512,306,1,0,28,89,1,0,62,0,0,75,4,14,0,0,0,0,6,0,4,0,0,0,0,3,6,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
480,6886,338,3,0,46,96,1,2,34,0,1,84,3,20,4,2,0,3,8,0,1,1,0,0,0,5,10,2,1,0,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
500,7259,267,7,0,0,111,2,2,29,0,1,56,1,17,0,0,0,1,1,0,1,0,0,0,0,4,22,1,0,0,3,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
510,7442,830,7,7,137,260,80,5,0,123,0,90,0,40,3,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,21,1,3,3,1,1
520,7549,320,9,0,0,145,2,0,88,0,1,36,1,17,4,0,0,0,3,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
540,7762,373,15,0,41,162,19,8,54,0,1,31,2,18,3,0,0,1,5,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
560,8105,306,8,0,29,118,14,8,5,0,1,43,1,46,6,0,0,2,5,0,0,0,0,0,0,1,3,2,1,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
580,8579,341,30,0,25,102,10,5,3,0,2,77,10,32,3,0,0,1,4,0,1,0,0,0,0,12,10,3,2,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
600,9053,301,41,0,40,119,4,10,1,0,2,44,2,13,5,0,0,0,5,0,1,0,0,1,0,4,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
620,9527,299,25,0,43,119,6,10,0,0,2,46,2,12,0,0,0,1,6,0,0,0,0,2,0,10,3,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
640,10001,319,33,0,58,101,8,8,0,0,4,62,4,8,1,0,0,0,1,0,0,0,0,0,0,17,1,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0
660,10492,317,5,0,23,193,3,2,0,0,1,61,8,7,1,0,0,0,1,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0
680,11078,308,78,0,21,45,6,13,0,0,6,89,13,4,2,0,0,0,1,0,2,0,0,0,1,8,1,2,3,0,4,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
700,11664,321,114,0,22,28,2,9,1,0,4,88,3,8,0,0,2,0,1,0,5,0,0,0,0,4,0,1,4,0,8,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
720,12250,319,66,0,14,7,0,1,0,0,2,158,8,1,1,0,1,0,0,0,0,0,0,0,24,6,0,4,0,1,9,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
740,12836,359,163,0,14,11,6,0,0,0,0,36,19,9,2,0,0,2,2,0,2,0,0,0,20,11,0,6,4,0,23,0,0,2,4,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0
745,12983,340,73,0,21,12,0,6,0,0,6,115,13,6,3,0,0,0,2,0,1,0,0,0,18,10,2,9,3,0,16,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
750,13129,348,12,0,5,5,9,0,0,0,0,163,1,2,0,0,0,0,0,0,0,0,0,0,4,9,2,27,1,0,31,0,0,3,18,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0
755,13209,466,27,0,10,11,30,1,0,0,0,137,0,2,1,0,0,0,0,0,3,0,0,0,1,20,3,21,0,0,4,0,0,2,13,1,1,2,0,0,0,0,0,2,1,5,0,0,0,0,0,167,1,0,0,0,0,0,0,0
760,13273,505,34,0,21,11,49,1,1,0,0,80,1,1,0,0,0,0,0,0,0,0,2,0,2,17,10,26,0,0,0,0,0,2,26,0,0,2,0,0,0,0,2,1,1,10,0,0,0,0,0,205,0,0,0,0,0,0,0,0
780,13527,527,34,0,25,19,17,2,0,0,0,79,2,3,2,0,0,0,0,0,3,0,0,0,1,22,7,38,1,0,3,0,0,0,19,5,0,8,0,0,0,0,0,4,1,1,0,0,0,0,0,231,0,0,0,0,0,0,0,0
800,13781,452,33,0,31,27,13,2,0,0,0,59,4,5,1,0,0,0,1,0,3,0,0,0,1,18,8,28,0,0,1,0,0,0,31,7,0,7,0,2,0,0,0,3,0,1,0,1,1,0,0,164,0,0,0,0,0,0,0,0
810,13908,402,52,0,29,28,31,1,0,0,0,67,1,3,1,0,0,0,0,0,0,0,0,0,4,13,12,11,0,2,3,0,0,1,15,7,2,4,1,1,0,0,0,1,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0
816,13984,362,137,0,16,8,10,1,0,0,0,64,1,2,0,0,0,0,0,0,2,0,1,0,0,3,1,9,0,0,3,0,0,3,27,9,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0
818,14097,356,169,0,6,4,10,0,0,0,0,61,22,1,0,0,0,0,0,0,0,0,0,0,11,4,1,6,0,0,3,0,0,1,11,6,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0
820,14469,446,100,0,7,9,7,0,0,0,0,91,58,1,0,0,0,0,0,0,1,0,0,0,48,0,0,19,0,0,21,0,0,0,10,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0
824,15213,355,16,0,5,1,19,0,0,0,0,111,41,5,0,0,0,0,0,0,0,0,0,0,40,0,0,20,0,0,4,0,0,1,21,7,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
828,15958,355,7,0,8,2,5,0,0,0,0,132,113,4,0,0,0,0,0,0,0,0,0,0,12,1,0,8,0,3,10,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
830,16330,354,4,0,8,2,9,2,0,0,0,165,70,1,0,0,0,0,0,0,2,0,1,0,7,0,0,11,0,2,6,0,0,0,4,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0
835,NA,469,33,0,32,7,19,2,0,0,0,70,13,7,0,0,0,0,0,0,0,0,0,0,1,3,0,51,0,4,15,0,0,3,20,9,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0
838,NA,469,35,0,26,19,41,1,0,0,0,29,1,9,0,0,0,0,1,0,10,0,0,0,12,2,0,55,1,12,3,0,0,0,15,3,2,11,0,0,0,0,2,0,1,1,0,0,0,0,0,177,0,0,0,0,0,0,0,0
840,NA,484,27,0,68,22,22,2,0,0,0,34,7,4,0,0,0,0,0,0,0,0,0,0,2,0,3,49,2,13,4,0,0,0,20,4,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0
842,NA,502,32,0,22,10,29,0,0,0,0,25,1,13,0,0,1,0,0,0,9,0,0,0,3,10,3,65,0,16,6,0,0,2,15,5,0,12,0,3,0,0,1,0,0,1,1,0,0,0,0,217,0,0,0,0,0,0,0,0
843,NA,432,33,0,33,0,40,0,0,0,0,59,1,10,3,0,0,0,4,0,8,1,0,0,2,0,1,44,1,13,1,0,0,5,9,8,1,4,0,1,0,0,0,0,0,1,0,0,0,1,0,148,0,0,0,0,0,0,0,0
848,NA,341,30,0,29,3,50,1,0,0,0,30,6,28,4,0,0,0,5,0,5,0,0,0,3,3,0,32,0,6,0,0,0,2,8,5,1,16,0,4,0,0,1,1,0,0,0,0,0,2,0,66,0,0,0,0,0,0,0,0
