"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana","Alnus.viridis","Amelanchier.type","Betula","Carya","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ephedra.trifurca.type","Ephedra.viridis.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Morus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides.type","Populus.undiff.","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Tilia","Ulmus","Vitis","Allium.type","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Dalea.candida","Dalea.purpurea.type","Dalea.undiff.","Euphorbia","Galium","Humulus","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Liliaceae","Myrica","Phlox","Plantago","Poaceae.undiff.","Polygonum.amphibium","Polygonum.lapathifolium.type","Ranunculaceae..tricolpate.","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sanguisorba.canadensis","Thalictrum","Urtica","Xanthium","Cyperaceae","Zea.mays"
15,26,420,0,0,0,0,0,5,1,0,34,0,0,0,1,5,0,0,0,1,3,0,0,0,0,0,0,29,3,0,25,14,1,0,0,2,99,6,0,0,3,9,0,0,60,2,0,20,7,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,1,0,0,15,0
45,183,403,0,0,0,0,0,4,0,0,33,0,0,0,1,8,0,0,0,0,3,1,0,0,0,0,0,24,5,0,29,16,0,0,0,3,102,4,4,0,7,13,0,0,47,0,0,13,1,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,47,0,0,1,0,0,0,0,0,0,0,15,1
75,341,366,0,0,0,0,0,2,0,0,28,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,7,5,0,31,4,1,0,0,2,56,1,1,0,4,16,0,0,52,1,0,62,4,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,1,25,0
120,578,359,0,0,0,0,0,2,0,0,65,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,25,3,1,15,10,0,0,0,16,63,3,0,0,7,14,0,0,33,1,0,19,3,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,1,24,0
165,817,380,0,0,0,0,0,5,2,0,22,0,1,0,0,15,0,0,0,1,0,2,0,0,0,0,0,64,3,0,36,25,0,0,0,6,78,2,1,0,10,8,0,0,20,1,0,11,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0,3,0,0,0,0,1,0,0,22,0
210,1058,342,0,0,0,0,0,5,2,0,25,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,9,1,21,33,0,0,0,0,70,8,0,0,4,10,0,0,24,0,0,24,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,53,0,0,1,0,0,0,0,1,0,0,13,0
270,1385,369,0,0,0,0,0,1,0,0,36,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,36,4,0,18,49,0,0,0,0,83,5,1,0,3,7,0,0,7,2,0,23,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,62,0,0,1,0,0,0,0,0,0,0,19,0
330,1706,427,0,0,0,0,0,1,3,0,58,0,0,0,0,10,0,0,0,1,1,1,0,0,0,0,0,43,2,0,3,35,0,0,0,0,101,3,2,0,1,9,0,0,40,7,0,24,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,24,0
405,2039,364,0,0,0,0,0,2,0,0,56,1,0,0,0,6,0,0,0,1,4,0,0,0,0,0,0,16,2,0,1,18,0,0,0,4,138,3,0,0,3,9,2,0,7,1,0,13,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,25,0
465,2202,383,0,0,0,0,0,3,5,0,37,1,0,0,0,7,0,0,0,2,5,1,0,0,0,0,0,12,3,2,23,17,0,1,0,13,87,7,1,0,2,13,1,0,15,1,0,27,2,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,19,0
