"sample.depths","sample.ages","upland.sum","Pinus.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus.undiff.","Pinus.edulis.type","Picea.mariana.type","Picea.glauca.type","Picea.undiff.","Picea.indet.","Abies","Pinaceae..vesiculate..undiff.","Larix.Pseudotsuga","Tsuga.canadensis.type","Arceuthobium","Cupressaceae","Quercus","Castanea","Fagus","Carya","Celtis","cf..Cephalanthus","Juglans.cinerea","Juglans.nigra","Betula","Ostrya.type","Ulmus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Alnus.incana.type","Alnus.viridis.type","Acer.glabrum.type","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Acer.saccharinum.type","Acer.undiff.","Cornus.undiff.","Cornus.sericea.type","Ericaceae","Liquidambar","Salix","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Myrica","Vitis","Corylus","Sambucus","Rhus.Toxicodendron","Ribes","Viburnum.rafinesquianum.type","Viburnum.opulus.type","Viburnum.undiff.","Ceanothus","Ephedra.trifurca.type","Ephedra.viridis.type","Morus","Platanus","Prosopis","Prunus.type","Amelanchier.type","Sarcobatus","Elaeagnus","Shepherdia.argentea","Shepherdia.canadensis","Symphoricarpos.type","Tilia","Poaceae.undiff.","Artemisia","Ambrosia.type","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.cf..Cirsium","Asteraceae.subf..Cichorioideae","Allium","Amorpha.type","Heracleum.type","Apiaceae.undiff.","Bidens.type","Iva.annua.type","Iva.xanthifolia.type","Amaranthaceae","Rosaceae.undiff.","Spiraea.type","Sanguisorba","Potentilla.type","Brassica","Brassicaceae.undiff.","Caryophyllaceae","Dalea.candida.type","Dalea.purpurea","Dalea.undiff.","Eriogonum","Euphorbia","Fabaceae.undiff.","Galium","Campanula","Lamiaceae.undiff.","Gentiana.andrewsii.type","Helianthemum.type","Humulus.lupulus","cf..Hypericum","Hydrophyllum","Impatiens","Kochia.type","Liliaceae.undiff.","Linum","Lycopus.type","Melilotus.type","Mertensia","Mentzelia","Acalypha","Calylophus","Gaura","Epilobium","Oenothera","Opuntia","Pediomelum.type","Phlox","Gilia","Pinguicula","Plantago","Polygonum.amphibium","Polygonum.ramosissimum.type","Polygonum.lapathifolium.type","Polygonum.tenue.type","Ranunculus.pensylvanicus.type","Ranunculus.undiff.","Anemone.canadensis.type","Anemone.quinquefolia.type","Anemone.patens","Actaea.type","Thalictrum","Rumex","Salsola","Avena.type","Secale.type","Triticum.type","Cerealia.undiff.","Trifolium.repens.type","Solanaceae","Sphaeralcea","Polygalaceae","Urtica.type","Verbena","Xanthium","Sisyrinchium","Zigadenus","cf..Araceae","Cyperaceae","Engelhardtia","Cupressaceae.type"
1020,NA,440,39,30,3,0,0,1,1,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,3,0,5,7,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,110,66,7,11,0,4,0,0,0,0,0,0,2,56,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,22,0,2,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0
1024,NA,510,42.5,20.5,0,1,0,0,3.5,0,1,0,0,0,0,8,5,0,0,0,0,0,0,0,9,0,3,0,2,5,2,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,144,100.5,7,6,0,0,0,0,0,0,0,0,13,17,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.5,1,3,5,0,0,0,0,0,1,0,0,0,0,0,45.5,0,0
1028,NA,411,33,25,3,0,0,0,3,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,1,2,2,0,4,4,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,66,104,12,13,0,3,0,0,0,0,0,0,5,49,1,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,3,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0
1032,NA,377,19,21,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,0,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,115,59,7,9,0,0,0,1,0,0,0,0,2,51,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,7,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0
1036,NA,459,24,20,1,0,0,0,1,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,1,5,3,4,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,71,105.5,16,15,0,0,0,0,0,0,0,0,18,31,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,79.5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,24,0,0
1040,NA,403,31,35,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,49,5,11,0,0,1,0,0,0,0,0,1,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0
1044,NA,339.5,15,14.5,2,0,0,0,2.5,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,53,58.5,10,11,0,0,0,0,0,0,0,0,0,20.5,2,0,0,0,2,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0
1048,NA,338.5,18,8,0,0,0,0,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,50,138.5,7,8,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,4,1,5,0,0,0,0,0,0,0,0,0,0,0,19,0,0
1050,NA,310,4,27,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,6,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,65,132,10,5,0,0,0,0,0,0,1,0,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0
1052,NA,381,18,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,90,159,2,14,0,0,0,0,0,0,0,0,0,8.5,1,0,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0
