"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Arceuthobium","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Elaeagnus","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Dalea.candida","Fabaceae.undiff.","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Onagraceae","Poaceae","Rumex","Thalictrum","Botrychium","Dryopteris.type","Equisetum","Lycopodium","Pteridium","Sphagnum","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sparganium.type","Typha.latifolia","Indeterminable","Unknown"
210,5487,4,3,14,3,0,96,1,0,0,0,10,0,0,17,2,4,0,0,2,0,4,5,75,2,0,10,0,0,1,43,7,1,2,0,1,1,0,0,6,1,0,0,1,0,0,2,0,0,0,3,0,5,0,0,0,1,1,0,1,0,0,15,1
220,5646,2,0,28,3,0,84,1,0,0,1,1,0,1,25,1,3,0,0,1,0,2,11,106,2,2,26,0,0,0,26,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,6,2
240,5963,5,2,20,6,0,121,0,0,0,0,1,0,1,20,1,6,0,0,1,0,0,6,158,2,0,22,0,0,1,18,9,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,5,0,0,0,0,0,0,0,0,1,1
260,6280,1,0,10,6,0,121,0,0,0,0,0,0,0,11,1,4,0,0,0,0,4,10,86,0,0,23,1,0,1,25,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,1
270,6439,1,0,6,2,0,61,0,0,0,1,0,0,0,4,1,2,0,0,1,0,2,7,204,1,2,26,0,0,1,66,7,0,2,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,2,0
280,6598,5,0,2,2,0,20,0,0,0,0,0,0,0,5,0,2,0,0,0,0,12,22,214,2,0,14,0,0,0,19,6,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,2,5,0,1,0,0,0,0,0,0,4,0
290,NA,0,0,0,1,0,41,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,231,0,0,19,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1
300,NA,4,0,2,4,0,48,2,1,0,0,0,0,1,1,0,2,0,0,1,0,1,10,194,1,0,10,0,5,0,2,4,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1
310,NA,2,0,0,5,0,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,5,326,2,0,8,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
320,NA,2,0,0,5,0,43,0,0,0,0,2,0,0,0,1,2,0,0,0,0,5,19,257,1,0,23,1,0,0,1,6,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,2,0,8,0,0,2,0,0,1,0,0,6,0
340,NA,5,0,1,10,0,60,1,0,0,0,0,0,0,2,0,3,0,0,2,0,5,6,187,3,1,13,1,0,0,1,7,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0
360,NA,6,0,1,0,0,55,0,0,0,0,1,0,0,0,1,4,0,0,1,0,4,18,250,1,0,13,2,0,1,2,8,0,0,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,4,0
370,NA,6,0,0,2,0,107,0,0,0,0,4,1,1,0,2,2,0,0,0,0,6,14,303,3,2,29,1,0,0,0,3,0,1,0,2,0,0,1,4,0,0,0,0,0,0,2,0,0,0,4,0,2,12,0,0,0,0,0,0,0,0,4,2
380,NA,2,0,0,6,0,75,2,0,0,0,0,0,0,0,0,13,0,0,0,0,2,66,97,0,0,25,23,0,0,5,23,0,1,0,15,0,0,0,68,0,0,0,0,0,0,14,0,0,0,15,1,36,1,0,0,0,0,0,0,0,0,16,1
400,NA,0,0,0,4,2,27,0,1,0,0,1,0,2,0,0,0,0,0,0,0,3,18,44,0,0,8,24,0,0,0,3,0,0,1,9,3,2,4,72,0,0,0,0,0,1,7,1,0,0,2,0,10,0,0,0,0,0,0,0,0,1,9,7
420,NA,0,0,0,15,0,74,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,35,47,0,0,19,44,0,0,2,5,0,10,1,46,5,4,2,93,0,0,0,0,0,0,19,0,0,0,10,0,12,0,0,0,0,0,0,0,0,1,26,2
430,NA,0,1,0,0,0,33,9,0,0,1,7,0,11,1,0,6,0,0,0,0,21,63,95,1,7,66,1,0,0,0,16,0,3,0,22,11,0,2,89,0,0,1,2,0,0,20,2,1,0,0,2,0,0,1,0,0,0,1,2,2,2,23,11
440,NA,4,1,1,1,0,24,3,0,0,0,5,0,0,0,1,2,0,2,2,0,13,166,137,4,5,56,1,0,0,0,3,0,3,0,8,4,1,3,36,0,0,0,2,0,0,12,0,0,0,31,0,10,9,0,0,0,0,0,0,0,0,15,3
450,NA,9,0,0,2,0,25,3,0,0,0,6,0,0,0,0,3,0,0,2,0,14,83,97,0,3,36,2,0,0,0,14,0,9,2,20,7,1,1,37,0,0,0,0,0,0,6,0,0,0,7,1,13,12,0,0,0,0,0,0,0,0,3,6
