"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Zea","Botrychium","Dennstaedtia","Diphasiastrum.complanatum","Huperzia.lucidula","Lycopodium.annotinum","Lycopodium.obscurum","Lycopodium.undiff.","Osmunda","Pteridium","Woodsia","Sphagnum","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Typha","Spore..monolete.","Spore..trilete.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..hidden.","Indeterminable.undiff.","Unknown"
10,12,1,3,5,0,12,1,114,0,11,23,0,0,0,0,3,1,12,3,0,2,2,0,0,1,0,0,12,1,2,0,5,16,68,3,0,215,0,0,0,0,1,21,6,0,46,0,0,1,0,0,5,3,0,0,0,0,35,0,0,0,2,56,0,0,0,0,0,0,0,0,0,0,11,11,0,0,41,0,0,0,0,0,6,2,0,0,0,0,25,0
11,31,0,6,4,2,10,0,103,2,15,28,0,5,0,0,3,1,33,4,3,1,1,1,0,1,1,0,21,2,5,3,7,10,52,1,0,219,0,0,0,0,1,20,6,0,44,0,0,0,0,0,2,4,0,0,0,1,65,0,0,0,1,42,1,0,0,0,1,0,0,1,0,0,2,13,0,0,55,0,0,0,0,1,3,0,11,2,6,6,0,0
12,35,0,2,4,0,27,3,109,0,16,39,0,3,0,1,3,0,19,6,2,1,0,1,0,1,0,0,12,0,0,3,0,7,57,3,0,211,0,0,0,0,1,19,7,0,35,0,0,1,0,0,0,5,0,0,0,0,47,0,0,0,1,47,0,0,0,0,0,0,0,0,0,0,4,10,0,0,27,0,0,0,0,0,10,2,0,0,0,0,17,1
13,42,0,6,6,0,23,0,77,2,9,21,0,5,0,2,1,0,18,4,1,1,0,1,0,0,0,0,8,1,1,4,2,14,56,2,0,269,0,0,0,0,0,23,6,0,41,0,1,2,0,0,1,2,0,0,0,0,67,0,0,0,0,49,0,0,1,0,0,0,0,0,0,0,5,11,1,0,46,0,0,1,0,0,4,1,20,2,14,10,0,0
14,45,0,3,11,0,21,2,93,0,8,16,0,4,0,1,3,0,24,3,1,6,0,1,0,1,1,0,31,1,1,3,3,10,47,0,1,256,0,0,0,0,0,30,5,0,35,0,0,2,0,0,0,3,0,0,0,0,35,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1,6,0,0,34,0,0,0,0,0,1,2,0,0,0,0,31,0
16,51,0,3,2,0,19,2,83,0,12,13,0,5,0,0,2,0,25,2,1,4,1,1,0,1,1,0,16,1,2,4,3,20,65,1,0,250,0,0,0,0,0,36,3,0,33,0,1,2,0,0,0,5,0,0,0,0,28,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,6,7,0,1,25,0,0,0,0,0,2,4,0,0,0,0,40,0
18,61,0,2,4,0,30,1,89,0,18,25,0,1,0,2,2,0,18,5,0,2,0,0,0,1,0,0,10,0,0,0,2,6,72,2,0,229,0,0,0,0,2,22,5,0,18,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,5,4,0,1,25,0,0,0,0,0,3,0,0,0,0,0,24,1
20,71,0,1,8,0,26,1,74,0,13,12,0,2,0,2,2,0,25,2,2,3,0,0,0,1,0,0,10,0,3,6,0,12,44,2,0,273,0,0,0,0,1,22,5,0,12,0,1,2,0,0,0,2,0,0,0,0,18,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,5,9,0,1,36,0,0,0,0,0,2,1,0,0,0,0,2,1
22.5,81,1,3,8,0,30,1,78,3,12,21,0,2,0,1,3,0,18,3,3,3,0,1,0,1,1,0,11,0,2,3,6,17,57,3,0,258,0,0,0,0,2,24,5,0,13,0,1,3,0,0,0,3,0,0,0,0,16,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,4,8,0,0,32,0,0,0,0,0,0,0,6,0,12,5,0,0
24.5,92,0,2,7,0,21,1,83,8,14,20,0,17,0,0,1,0,21,5,3,2,0,0,0,1,1,0,12,0,0,5,3,16,42,1,0,272,0,0,0,0,1,16,5,0,18,0,0,0,0,0,0,5,0,0,0,0,19,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,2,12,0,1,29,0,1,0,0,0,1,0,8,0,6,0,0,0
26.5,107,0,5,6,0,9,1,94,3,11,13,0,3,0,2,4,0,24,8,4,5,0,0,0,1,0,0,13,0,0,10,6,5,46,1,1,272,0,0,0,0,0,13,5,0,11,0,1,1,0,0,0,1,0,0,0,0,32,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,2,3,0,1,33,0,0,0,0,0,1,2,13,0,7,2,0,1
28.5,123,0,7,7,0,26,0,111,0,15,16,0,9,0,1,3,1,20,5,1,3,2,0,0,0,0,0,20,0,2,6,2,2,46,1,0,280,0,0,0,0,0,18,3,0,14,0,1,2,0,0,1,8,0,0,0,0,25,0,0,0,1,39,0,0,1,0,0,0,0,0,0,0,1,6,0,0,30,0,0,0,0,0,6,0,10,0,3,0,0,1
30.5,139,0,6,3,1,22,0,97,3,10,20,0,5,0,0,1,0,22,5,1,2,1,0,0,1,1,0,20,0,1,0,8,6,40,0,0,260,0,1,0,0,0,15,3,0,22,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,37,0,0,0,0,0,0,1,0,0,0,3,13,0,1,37,0,0,0,0,0,2,1,7,7,0,2,0,1
32.5,154,0,1,6,3,27,1,90,1,5,16,0,4,0,1,3,0,17,4,3,2,2,0,0,1,1,0,10,0,1,6,1,10,57,2,0,250,0,0,0,0,0,19,3,0,28,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,8,0,0,30,0,0,0,0,0,0,0,12,1,15,1,0,0
34.5,170,0,3,7,1,20,1,76,3,7,24,0,4,0,1,3,0,13,3,1,4,0,2,0,1,0,0,17,1,3,3,5,8,39,0,0,291,0,0,0,0,0,13,2,0,15,0,0,0,0,0,0,1,0,0,0,1,14,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,6,0,0,24,0,0,0,0,0,4,0,8,0,14,9,0,0
36.5,186,0,0,1,1,24,1,117,4,15,24,0,3,0,0,3,0,21,7,2,1,0,0,0,1,0,0,15,0,3,3,3,2,28,1,0,267,0,0,0,0,0,16,2,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,3,8,0,0,36,0,0,0,0,1,3,1,7,0,19,2,0,0
38.5,203,0,1,5,2,30,0,86,2,11,18,0,6,0,0,3,2,17,6,2,0,0,0,0,1,1,0,21,1,0,5,3,6,52,1,0,289,0,1,0,0,0,16,3,0,14,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,7,9,0,2,37,0,0,0,0,0,2,3,7,0,5,3,0,0
40.5,232,0,1,5,3,29,1,87,6,14,15,0,16,0,0,0,0,35,1,0,1,1,0,0,1,0,0,11,0,2,4,5,5,41,0,0,263,0,0,0,0,0,32,2,0,8,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,10,0,1,48,0,0,0,0,0,6,4,12,6,21,15,0,0
42.5,266,0,5,7,0,18,1,87,10,8,12,0,5,0,0,1,1,20,7,3,0,1,1,1,0,0,0,15,0,1,6,1,3,60,0,0,251,0,0,0,0,0,31,2,0,6,0,2,1,0,0,0,1,1,0,0,0,23,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,2,18,0,0,44,0,0,0,0,1,0,0,1,0,11,7,0,0
44.5,300,0,5,7,0,29,0,79,3,11,16,0,7,0,0,3,0,30,3,2,2,1,0,0,0,0,0,18,0,1,5,5,3,46,0,0,271,0,0,0,0,2,26,6,0,3,0,2,0,0,0,0,3,0,0,0,0,5,0,0,0,1,14,0,0,0,0,0,0,1,0,0,0,3,15,0,0,31,0,0,1,0,0,2,0,6,2,9,3,0,0
46.5,334,0,8,7,3,13,0,64,11,8,27,0,5,0,1,1,0,29,4,2,2,0,1,0,0,0,0,10,1,2,3,3,6,52,0,0,253,0,0,0,0,0,32,3,0,5,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,6,9,0,1,39,0,0,0,0,0,7,0,11,0,26,6,0,0
48.5,368,0,6,9,1,29,0,83,10,18,15,0,2,0,2,1,0,31,2,2,3,1,0,0,0,0,0,11,2,2,4,3,8,56,1,0,238,0,1,0,0,1,24,3,0,9,0,2,1,0,0,0,3,0,0,0,2,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,4,16,1,1,57,0,0,0,0,0,3,1,5,1,14,4,0,0
50.5,402,0,3,6,2,27,1,88,6,25,7,0,10,1,0,2,0,14,8,3,4,1,0,0,0,0,0,0,0,0,4,6,2,59,0,3,258,21,4,0,0,0,25,10,0,11,0,0,0,0,0,0,4,0,0,0,0,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,17,0,0,38,0,0,0,0,0,9,0,12,0,9,2,0,2
52.5,436,0,3,5,2,15,1,82,8,10,21,0,5,0,1,1,0,23,6,4,3,2,1,0,2,0,0,24,0,1,2,8,4,57,2,0,239,0,0,0,0,1,29,4,1,1,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,33,0,1,52,0,0,0,0,0,3,0,13,0,5,4,0,1
54.5,470,0,3,10,3,16,1,47,3,21,20,0,4,1,2,2,0,39,5,3,2,0,2,0,2,0,0,19,0,2,7,2,1,45,0,0,212,0,0,0,0,0,38,4,0,0,0,1,0,0,0,1,3,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,18,0,0,34,0,0,0,0,0,1,0,9,1,8,0,0,4
56.5,504,0,2,5,2,14,1,71,2,12,8,0,3,0,1,1,1,28,4,2,2,0,0,0,1,0,0,13,0,1,1,8,2,34,4,0,272,0,0,0,0,1,43,4,0,2,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,3,10,0,0,30,0,0,1,0,1,2,0,12,0,3,5,0,1
58.5,538,0,3,5,5,16,0,86,5,13,8,0,2,0,1,1,1,24,6,4,4,2,0,0,2,0,0,9,0,3,3,3,3,44,0,0,271,0,0,0,0,0,34,8,0,2,0,1,1,0,0,0,3,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,13,0,1,46,0,0,0,0,0,3,0,8,2,10,3,0,0
60.5,572,1,6,9,1,21,0,105,8,14,11,0,1,0,2,3,0,38,2,3,1,0,0,0,1,0,0,14,0,0,4,5,8,34,0,0,255,1,1,0,0,2,25,7,0,2,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,8,0,0,38,0,0,2,0,0,1,1,10,0,5,7,0,0
62.5,606,0,3,5,1,11,0,89,8,14,9,0,1,0,1,2,2,43,4,1,3,1,0,0,1,0,0,18,0,4,2,3,8,28,0,0,240,0,0,0,0,0,29,3,0,2,0,1,1,0,0,0,1,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,16,1,0,58,0,0,0,0,0,1,0,5,0,7,5,0,1
64.5,640,1,3,10,3,13,0,67,2,16,9,0,0,2,0,1,1,14,5,2,1,2,1,1,1,0,0,17,0,1,3,5,5,36,2,0,268,0,1,0,0,0,34,9,0,5,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,5,23,0,0,53,0,1,1,0,0,2,0,9,0,6,5,1,0
66.5,674,1,4,7,3,26,0,87,3,13,9,0,3,0,1,3,0,21,5,4,2,3,1,0,1,0,0,14,1,2,4,3,2,32,2,0,263,0,0,0,0,0,44,6,0,1,0,0,1,0,0,0,5,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,21,0,1,66,0,0,0,0,0,5,1,23,2,11,3,0,2
68.5,708,0,5,6,3,29,0,70,5,9,19,0,2,0,0,1,0,39,3,3,2,0,0,0,0,1,0,16,1,4,4,11,8,44,1,0,291,0,3,0,0,3,23,3,0,2,0,0,2,0,0,0,3,0,0,0,0,4,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,4,13,0,2,65,0,0,0,0,0,1,1,10,3,8,2,0,0
70.5,742,0,7,4,3,17,0,76,7,8,8,0,2,0,1,3,1,35,2,2,3,0,1,0,1,1,0,20,1,3,4,6,3,42,1,0,272,0,3,0,0,3,28,3,0,3,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,6,16,0,2,92,0,0,0,0,0,1,1,12,2,5,6,0,0
72.5,776,0,7,6,5,20,0,90,7,13,12,0,6,0,1,1,1,40,5,4,0,1,1,0,1,1,0,14,0,4,2,3,8,25,2,0,254,0,0,0,0,0,41,7,0,4,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,3,15,0,3,83,0,0,0,0,1,1,0,8,5,16,5,0,0
74.5,810,1,2,6,1,23,0,73,3,12,3,0,1,0,1,1,2,52,5,3,2,1,2,0,1,1,0,13,0,3,1,3,6,25,3,0,299,0,0,0,0,0,26,2,0,5,0,1,1,0,0,0,2,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,5,7,0,2,73,1,0,0,0,1,4,0,10,0,8,11,0,1
76.5,849,0,3,6,3,15,0,87,5,10,19,0,4,0,1,3,1,51,5,2,0,0,0,0,0,0,0,20,0,1,1,5,5,40,1,0,252,0,0,0,0,0,29,3,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,3,16,0,0,108,0,0,0,0,0,2,0,15,0,13,6,0,0
78.5,903,0,3,5,2,21,0,73,3,19,8,0,1,0,0,3,1,37,7,3,3,2,1,0,0,3,0,14,0,2,1,3,10,26,2,0,268,0,1,0,0,1,34,3,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,8,0,0,87,0,0,0,0,0,1,0,7,0,12,0,0,0
80.5,958,0,4,2,1,22,0,68,0,10,18,0,0,0,0,3,0,36,6,3,0,0,1,0,1,0,0,15,0,0,4,5,2,35,0,0,273,0,0,0,0,2,35,5,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,2,116,0,0,0,0,0,1,0,8,2,10,8,0,0
82.5,1012,0,1,7,2,20,0,82,0,8,9,0,2,0,0,3,0,35,6,2,2,0,3,0,0,0,0,21,0,2,2,2,3,38,1,0,254,0,0,0,0,1,33,5,0,2,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,5,0,0,167,0,0,0,0,1,3,0,11,3,9,5,0,0
84.5,1066,0,1,4,2,21,0,72,2,6,14,0,2,0,0,1,0,38,8,1,0,0,0,0,0,0,0,13,0,0,3,3,3,44,1,0,260,0,0,0,0,0,47,2,0,2,0,1,3,0,0,0,3,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,7,0,0,109,0,0,0,0,0,2,0,15,2,11,7,0,0
86.5,1120,0,4,8,1,18,0,83,1,10,6,0,3,0,0,1,0,31,9,2,2,0,0,0,0,0,0,7,0,4,2,2,7,34,2,0,266,0,0,0,0,1,36,5,0,1,0,1,1,0,0,0,1,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,5,0,0,95,0,0,0,0,0,1,0,8,2,16,5,0,0
88.5,1175,0,1,3,2,16,0,82,0,9,6,0,3,0,1,2,0,43,10,1,2,0,1,0,1,2,0,12,0,0,4,3,6,35,1,0,249,0,0,0,0,0,47,7,0,1,0,0,2,0,0,0,4,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7,11,0,0,84,0,0,0,0,0,4,1,13,4,13,9,0,1
90.5,NA,0,3,5,2,18,0,88,1,15,2,0,3,0,0,1,0,51,6,2,5,0,0,0,0,1,0,21,1,1,5,1,3,34,1,0,246,0,0,0,0,1,39,1,0,1,0,1,1,0,0,0,2,0,0,0,0,7,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,14,0,0,77,0,0,0,0,0,4,0,15,0,11,3,0,0
