"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Urtica","Zea"
0,-43,623,0,6,5,0,13,0,121,0,15,3,0,6,0,0,3,0,23,19,1,0,2,0,0,1,0,0,10,0,0,2,5,25,69,2,0,190,0,1,0,0,0,12,16,0,31,0,0,5,0,0,0,0,0,0,0,0,20,0,0,0,1,16,0,0,0
1,-39,673,0,8,4,2,21,0,101,1,12,6,0,6,0,0,3,0,15,8,0,3,0,0,0,0,0,0,15,0,3,2,5,46,73,2,1,199,0,1,0,0,0,7,10,0,52,0,1,1,0,0,1,3,0,0,0,0,40,0,0,0,5,16,0,0,0
2,-36,639,0,8,5,0,11,0,155,0,17,10,0,8,0,0,1,0,9,8,3,4,1,1,0,1,0,0,10,0,3,2,3,24,66,2,0,175,0,0,0,0,0,10,11,0,53,0,1,4,0,0,2,3,0,0,0,0,16,0,0,0,0,11,1,0,0
3,-33,717,0,7,5,2,16,0,103,0,8,10,0,9,0,0,6,0,11,19,3,2,1,2,0,0,0,0,11,0,3,1,5,20,65,0,0,235,1,4,0,0,0,8,10,0,51,0,1,2,0,0,2,11,0,0,0,0,51,0,0,0,0,32,0,0,0
4,-29,692,0,14,7,0,15,0,140,0,10,13,0,8,0,0,5,1,11,8,5,5,2,4,0,0,0,0,8,0,2,2,0,15,50,1,0,214,0,1,0,0,1,6,13,0,55,0,0,3,0,0,0,10,0,0,0,0,28,0,0,0,1,34,0,0,0
5,-22,729,1,8,3,3,18,0,159,2,12,11,0,10,0,0,5,0,12,6,2,1,0,0,0,0,0,0,19,0,2,1,8,14,65,0,0,189,0,0,0,0,0,11,7,0,63,0,0,4,0,0,2,6,0,0,0,0,53,0,0,0,1,31,0,0,0
6,-16,723,0,9,12,0,19,2,114,0,15,10,0,11,0,0,3,1,12,8,2,4,4,2,0,1,1,0,17,0,0,5,0,10,53,2,0,250,0,1,0,0,1,14,9,1,41,0,1,5,0,0,1,5,0,0,0,0,51,0,0,0,1,25,0,0,0
7,-9,701,0,8,3,2,15,0,139,2,14,14,0,8,0,0,4,0,17,13,1,0,0,1,1,0,0,0,22,0,2,3,3,19,70,1,1,167,0,3,0,0,0,15,10,0,47,0,2,1,0,0,0,1,0,0,0,0,61,0,0,0,1,30,0,0,0
8,2,716,0,14,15,0,15,1,139,0,9,17,0,6,0,1,2,0,31,5,1,2,2,1,0,0,0,0,15,0,1,3,2,6,56,3,0,186,0,2,0,0,0,13,8,0,59,0,0,5,0,0,4,1,0,0,0,0,55,0,0,0,2,34,0,0,0
9,3,682,0,6,4,1,20,0,101,4,12,25,0,2,0,0,2,0,22,9,3,2,1,0,0,1,0,0,15,0,1,2,5,20,66,0,0,201,0,0,0,0,0,12,5,0,54,0,0,0,0,0,1,5,0,0,0,0,40,0,0,0,5,35,0,0,0
